dataset_name,bias_mitigation_method,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
adult,Pre-processing: Reweighing,logistic_regression,0.6603 ± 0.0088,0.4049 ± 0.0153,0.5018 ± 0.0121,0.6694 ± 0.0065,0.6694 ± 0.0065,0.0400 ± 0.0064,0.7526 ± 0.0299,0.1368 ± 0.0236
adult,Pre-processing: Reweighing,random_forest,0.6964 ± 0.0072,0.5430 ± 0.0126,0.6101 ± 0.0079,0.7340 ± 0.0053,0.7340 ± 0.0053,0.1273 ± 0.0079,0.7526 ± 0.0299,0.0467 ± 0.0072
adult,Pre-processing: Reweighing,xgboost,0.7190 ± 0.0062,0.5506 ± 0.0096,0.6236 ± 0.0071,0.7412 ± 0.0046,0.7412 ± 0.0046,0.0871 ± 0.0092,0.7526 ± 0.0299,0.1395 ± 0.0230
dutch,Pre-processing: Reweighing,logistic_regression,0.8190 ± 0.0062,0.7506 ± 0.0031,0.7833 ± 0.0020,0.7999 ± 0.0025,0.7999 ± 0.0025,0.1737 ± 0.0148,0.6685 ± 0.0226,0.0544 ± 0.0105
dutch,Pre-processing: Reweighing,random_forest,0.8349 ± 0.0035,0.7745 ± 0.0043,0.8036 ± 0.0035,0.8177 ± 0.0031,0.8177 ± 0.0031,0.2471 ± 0.0144,0.6685 ± 0.0226,0.1118 ± 0.0056
dutch,Pre-processing: Reweighing,xgboost,0.8619 ± 0.0042,0.7671 ± 0.0042,0.8117 ± 0.0016,0.8277 ± 0.0014,0.8277 ± 0.0014,0.2071 ± 0.0139,0.6685 ± 0.0226,0.0639 ± 0.0098
twc,Pre-processing: Reweighing,logistic_regression,0.6342 ± 0.0196,0.2052 ± 0.0088,0.3101 ± 0.0115,0.5858 ± 0.0046,0.5858 ± 0.0046,0.0122 ± 0.0084,0.8505 ± 0.0939,0.0187 ± 0.0200
twc,Pre-processing: Reweighing,random_forest,0.7094 ± 0.0140,0.4699 ± 0.0099,0.5652 ± 0.0086,0.7076 ± 0.0048,0.7076 ± 0.0048,0.0630 ± 0.0083,0.8505 ± 0.0939,0.2334 ± 0.0174
twc,Pre-processing: Reweighing,xgboost,0.7026 ± 0.0094,0.5214 ± 0.0070,0.5985 ± 0.0046,0.7293 ± 0.0029,0.7293 ± 0.0029,0.0668 ± 0.0103,0.8505 ± 0.0939,0.2688 ± 0.0114
compas,Pre-processing: Reweighing,logistic_regression,0.6399 ± 0.0080,0.7249 ± 0.0150,0.6797 ± 0.0105,0.6183 ± 0.0104,0.6183 ± 0.0104,0.0436 ± 0.0296,0.9334 ± 0.0425,0.0467 ± 0.0427
compas,Pre-processing: Reweighing,random_forest,0.6595 ± 0.0086,0.7175 ± 0.0200,0.6872 ± 0.0122,0.6370 ± 0.0108,0.6370 ± 0.0108,0.0296 ± 0.0163,0.9334 ± 0.0425,0.0601 ± 0.0350
compas,Pre-processing: Reweighing,xgboost,0.6671 ± 0.0110,0.7246 ± 0.0125,0.6946 ± 0.0096,0.6457 ± 0.0119,0.6457 ± 0.0119,0.0539 ± 0.0306,0.9334 ± 0.0425,0.0762 ± 0.0370
