age_cat,marital_status_cat,hours_per_week_cat,capital_loss_cat,income_f,education_cat,occupation_cat,race_cat,native_country_cat,workclass_cat,relationship_cat,sex
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,Blue-collar,White,United-States,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_40+,1,HS-grad,White-collar,White,native_country_Non-US,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Gov,Married,Female
age_60+,Divorced-Separated-Widowed,hours_per_week_21-39,capital_loss_0,1,Masters,White-collar,White,United-States,Gov,Not-in-family,Female
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,Other-race,native_country_Non-US,Private,Own-child,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,education_Some-HS,Other-occupation,White,United-States,Private,Unmarried,Female
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Other-occupation,Black,United-States,Private,Married,Female
age_35-40,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Self-emp,Not-in-family,Male
age_50-60,Never-married,hours_per_week_40-60,capital_loss_40+,1,HS-grad,White-collar,Other-race,United-States,Private,Not-in-family,Male
age_0-20,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,Black,native_country_Non-US,Private,Married,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_0-20,capital_loss_0,1,HS-grad,Other-occupation,White,United-States,Other-workclass,Not-in-family,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_30-35,Never-married,hours_per_week_0-20,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Own-child,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Self-emp,Not-in-family,Female
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Unmarried,Male
age_30-35,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
