sex,relationship_cat,age_cat,hours_per_week_cat,occupation_cat,capital_gain_cat,income_f,education_cat,race_cat,native_country_cat,workclass_cat,marital_status_cat
Male,Married,age_40-50,hours_per_week_60+,White-collar,capital_gain_0,1,Masters,White,United-States,Private,Married-civ-spouse
Male,Not-in-family,age_50-60,hours_per_week_40-60,White-collar,capital_gain_5000+,1,Bachelors,White,United-States,Private,Never-married
Male,Married,age_50-60,hours_per_week_40-60,White-collar,capital_gain_0,1,HS-grad,White,United-States,Self-emp,Married-civ-spouse
Female,Not-in-family,age_40-50,hours_per_week_40-60,White-collar,capital_gain_0,1,education_Some-HS,White,United-States,Private,Never-married
Male,Own-child,age_40-50,hours_per_week_60+,White-collar,capital_gain_0,1,HS-grad,White,United-States,Self-emp,Never-married
Female,Other-relative,age_30-35,hours_per_week_40-60,White-collar,capital_gain_0,1,Assoc-acdm,White,United-States,Private,Never-married
Male,Married,age_25-30,hours_per_week_0-20,Blue-collar,capital_gain_0,1,Some-college,White,United-States,Other-workclass,Married-civ-spouse
Male,Married,age_30-35,hours_per_week_21-39,White-collar,capital_gain_0,1,HS-grad,White,United-States,Private,Married-civ-spouse
Female,Own-child,age_40-50,hours_per_week_40-60,Blue-collar,capital_gain_0,1,Assoc-voc,Other-race,United-States,Gov,Never-married
Female,Unmarried,age_30-35,hours_per_week_40-60,White-collar,capital_gain_0,1,Assoc-voc,Black,United-States,Private,Divorced-Separated-Widowed
Male,Married,age_35-40,hours_per_week_21-39,Blue-collar,capital_gain_0,1,Bachelors,White,United-States,Gov,Married-civ-spouse
Male,Married,age_40-50,hours_per_week_21-39,White-collar,capital_gain_0,1,Bachelors,White,United-States,Private,Married-civ-spouse
Female,Own-child,age_60+,hours_per_week_40-60,White-collar,capital_gain_5000+,1,Bachelors,White,United-States,Private,Never-married
Female,Unmarried,age_40-50,hours_per_week_40-60,White-collar,capital_gain_0,1,Bachelors,White,United-States,Private,Never-married
