sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
original dataset,logistic_regression,0.6893 ± 0.0051,0.7562 ± 0.0159,0.7211 ± 0.0088,0.6741 ± 0.0072,0.6741 ± 0.0072,0.1834 ± 0.0338,0.7455 ± 0.0419,0.2078 ± 0.0551
original dataset,random_forest,0.6622 ± 0.0111,0.7273 ± 0.0177,0.6931 ± 0.0097,0.6413 ± 0.0112,0.6413 ± 0.0112,0.1449 ± 0.0279,0.7914 ± 0.0388,0.1733 ± 0.0547
original dataset,xgboost,0.6676 ± 0.0070,0.7505 ± 0.0108,0.7066 ± 0.0067,0.6515 ± 0.0079,0.6515 ± 0.0079,0.1840 ± 0.0384,0.7505 ± 0.0452,0.2196 ± 0.0543
original dataset,mlp,0.6476 ± 0.0111,0.7380 ± 0.0328,0.6894 ± 0.0124,0.6282 ± 0.0103,0.6282 ± 0.0103,0.1662 ± 0.0121,0.7721 ± 0.0197,0.1975 ± 0.0314
original dataset with protected attribute removed (FTU),logistic_regression,0.6902 ± 0.0058,0.7541 ± 0.0146,0.7207 ± 0.0086,0.6745 ± 0.0077,0.6745 ± 0.0077,0.1726 ± 0.0368,0.7574 ± 0.0459,0.1934 ± 0.0536
original dataset with protected attribute removed (FTU),random_forest,0.6662 ± 0.0089,0.7339 ± 0.0244,0.6981 ± 0.0096,0.6466 ± 0.0077,0.6466 ± 0.0077,0.1413 ± 0.0335,0.7965 ± 0.0472,0.1535 ± 0.0546
original dataset with protected attribute removed (FTU),xgboost,0.6738 ± 0.0040,0.7553 ± 0.0151,0.7121 ± 0.0058,0.6587 ± 0.0035,0.6587 ± 0.0035,0.1496 ± 0.0279,0.7894 ± 0.0373,0.1625 ± 0.0516
original dataset with protected attribute removed (FTU),mlp,0.6566 ± 0.0076,0.7434 ± 0.0334,0.6967 ± 0.0119,0.6385 ± 0.0039,0.6385 ± 0.0039,0.1346 ± 0.0295,0.8085 ± 0.0469,0.1479 ± 0.0471
original dataset with protected attribute and proxies removed (FTU_2),logistic_regression,0.6277 ± 0.0073,0.7107 ± 0.0131,0.6665 ± 0.0080,0.6029 ± 0.0088,0.6029 ± 0.0088,0.1442 ± 0.0124,0.7974 ± 0.0178,0.1586 ± 0.0331
original dataset with protected attribute and proxies removed (FTU_2),random_forest,0.6071 ± 0.0113,0.8037 ± 0.0510,0.6906 ± 0.0157,0.5895 ± 0.0107,0.5895 ± 0.0107,0.1064 ± 0.0233,0.8644 ± 0.0352,0.1157 ± 0.0321
original dataset with protected attribute and proxies removed (FTU_2),xgboost,0.6090 ± 0.0098,0.8052 ± 0.0578,0.6922 ± 0.0186,0.5922 ± 0.0080,0.5922 ± 0.0080,0.1166 ± 0.0144,0.8523 ± 0.0281,0.1205 ± 0.0243
original dataset with protected attribute and proxies removed (FTU_2),mlp,0.6089 ± 0.0081,0.7936 ± 0.0913,0.6862 ± 0.0352,0.5906 ± 0.0085,0.5906 ± 0.0085,0.1061 ± 0.0165,0.8620 ± 0.0276,0.1142 ± 0.0311
Initial DAG,logistic_regression,0.6303 ± 0.0125,0.6755 ± 0.0201,0.6521 ± 0.0150,0.6132 ± 0.0151,0.6132 ± 0.0151,0.0302 ± 0.0165,0.9482 ± 0.0280,0.0576 ± 0.0275
Initial DAG,random_forest,0.6002 ± 0.0095,0.6548 ± 0.0129,0.6263 ± 0.0104,0.5802 ± 0.0111,0.5802 ± 0.0111,0.0616 ± 0.0380,0.8991 ± 0.0594,0.0924 ± 0.0398
Initial DAG,xgboost,0.6013 ± 0.0106,0.6776 ± 0.0247,0.6371 ± 0.0156,0.5842 ± 0.0135,0.5842 ± 0.0135,0.0471 ± 0.0211,0.9243 ± 0.0320,0.0666 ± 0.0252
Initial DAG,mlp,0.5835 ± 0.0155,0.6538 ± 0.0654,0.6149 ± 0.0295,0.5618 ± 0.0168,0.5618 ± 0.0168,0.0325 ± 0.0412,0.9494 ± 0.0614,0.0665 ± 0.0432
HC without fairness constraints,logistic_regression,0.6542 ± 0.0118,0.7063 ± 0.0158,0.6791 ± 0.0105,0.6410 ± 0.0123,0.6410 ± 0.0123,0.1056 ± 0.0186,0.8354 ± 0.0281,0.1184 ± 0.0364
HC without fairness constraints,random_forest,0.6176 ± 0.0094,0.6581 ± 0.0135,0.6371 ± 0.0091,0.5976 ± 0.0099,0.5976 ± 0.0099,0.0649 ± 0.0107,0.8935 ± 0.0167,0.0738 ± 0.0169
HC without fairness constraints,xgboost,0.6217 ± 0.0100,0.6764 ± 0.0172,0.6478 ± 0.0110,0.6045 ± 0.0110,0.6045 ± 0.0110,0.0696 ± 0.0321,0.8901 ± 0.0479,0.0756 ± 0.0373
HC without fairness constraints,mlp,0.6126 ± 0.0166,0.6310 ± 0.0497,0.6202 ± 0.0214,0.5878 ± 0.0133,0.5878 ± 0.0133,0.0849 ± 0.0221,0.8583 ± 0.0402,0.0889 ± 0.0309
HC with fairness constraints and same size as original dataset lambda = 0.1,logistic_regression,0.6641 ± 0.0035,0.8051 ± 0.0047,0.7278 ± 0.0029,0.6591 ± 0.0040,0.6591 ± 0.0040,0.1383 ± 0.0099,0.8157 ± 0.0123,0.2073 ± 0.0207
HC with fairness constraints and same size as original dataset lambda = 0.1,random_forest,0.6527 ± 0.0056,0.7500 ± 0.0266,0.6977 ± 0.0098,0.6362 ± 0.0044,0.6362 ± 0.0044,0.1230 ± 0.0232,0.8258 ± 0.0328,0.1678 ± 0.0310
HC with fairness constraints and same size as original dataset lambda = 0.1,xgboost,0.6592 ± 0.0041,0.7735 ± 0.0143,0.7117 ± 0.0049,0.6476 ± 0.0033,0.6476 ± 0.0033,0.1057 ± 0.0307,0.8515 ± 0.0402,0.1447 ± 0.0339
HC with fairness constraints and same size as original dataset lambda = 0.1,mlp,0.6414 ± 0.0177,0.7381 ± 0.0651,0.6843 ± 0.0238,0.6206 ± 0.0144,0.6206 ± 0.0144,0.1145 ± 0.0445,0.8335 ± 0.0716,0.1302 ± 0.0300
HC with fairness constraints and double the size of original dataset lambda = 0.1,logistic_regression,0.6698 ± 0.0041,0.7792 ± 0.0090,0.7203 ± 0.0039,0.6599 ± 0.0041,0.6599 ± 0.0041,0.1584 ± 0.0160,0.7853 ± 0.0184,0.2192 ± 0.0168
HC with fairness constraints and double the size of original dataset lambda = 0.1,random_forest,0.6611 ± 0.0043,0.7574 ± 0.0180,0.7059 ± 0.0063,0.6465 ± 0.0030,0.6465 ± 0.0030,0.1010 ± 0.0218,0.8538 ± 0.0306,0.1509 ± 0.0145
HC with fairness constraints and double the size of original dataset lambda = 0.1,xgboost,0.6688 ± 0.0030,0.7848 ± 0.0120,0.7221 ± 0.0047,0.6600 ± 0.0031,0.6600 ± 0.0031,0.1314 ± 0.0306,0.8194 ± 0.0398,0.1742 ± 0.0313
HC with fairness constraints and double the size of original dataset lambda = 0.1,mlp,0.6577 ± 0.0037,0.7330 ± 0.0337,0.6929 ± 0.0133,0.6382 ± 0.0039,0.6382 ± 0.0039,0.1197 ± 0.0225,0.8255 ± 0.0298,0.1604 ± 0.0404
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,logistic_regression,0.6986 ± 0.0019,0.7021 ± 0.0093,0.7003 ± 0.0039,0.6699 ± 0.0012,0.6699 ± 0.0012,0.1137 ± 0.0129,0.8175 ± 0.0161,0.1778 ± 0.0164
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,random_forest,0.6574 ± 0.0025,0.6967 ± 0.0228,0.6763 ± 0.0115,0.6313 ± 0.0060,0.6313 ± 0.0060,0.0836 ± 0.0408,0.8694 ± 0.0601,0.0803 ± 0.0385
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,xgboost,0.6729 ± 0.0040,0.6851 ± 0.0113,0.6789 ± 0.0069,0.6434 ± 0.0054,0.6434 ± 0.0054,0.1370 ± 0.0296,0.7886 ± 0.0391,0.1435 ± 0.0340
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,mlp,0.6480 ± 0.0154,0.6923 ± 0.0818,0.6661 ± 0.0335,0.6194 ± 0.0085,0.6194 ± 0.0085,0.0888 ± 0.0551,0.8552 ± 0.0997,0.1020 ± 0.0405
HC with fairness constraints and equal number of protected attribute lambda = 0.1,logistic_regression,0.6986 ± 0.0019,0.7021 ± 0.0093,0.7003 ± 0.0039,0.6699 ± 0.0012,0.6699 ± 0.0012,0.1137 ± 0.0129,0.8175 ± 0.0161,0.1778 ± 0.0164
HC with fairness constraints and equal number of protected attribute lambda = 0.1,random_forest,0.6574 ± 0.0025,0.6967 ± 0.0228,0.6763 ± 0.0115,0.6313 ± 0.0060,0.6313 ± 0.0060,0.0836 ± 0.0408,0.8694 ± 0.0601,0.0803 ± 0.0385
HC with fairness constraints and equal number of protected attribute lambda = 0.1,xgboost,0.6729 ± 0.0040,0.6851 ± 0.0113,0.6789 ± 0.0069,0.6434 ± 0.0054,0.6434 ± 0.0054,0.1370 ± 0.0296,0.7886 ± 0.0391,0.1435 ± 0.0340
HC with fairness constraints and equal number of protected attribute lambda = 0.1,mlp,0.6521 ± 0.0086,0.6848 ± 0.0414,0.6672 ± 0.0181,0.6235 ± 0.0070,0.6235 ± 0.0070,0.0654 ± 0.0364,0.8946 ± 0.0584,0.0709 ± 0.0241
HC with fairness constraints and same size as original dataset lambda = 0.2,logistic_regression,0.6550 ± 0.0036,0.7774 ± 0.0092,0.7109 ± 0.0028,0.6439 ± 0.0030,0.6439 ± 0.0030,0.1323 ± 0.0185,0.8195 ± 0.0240,0.1709 ± 0.0167
