sex,age_cat,c_charge_degree,priors_count_cat,juv_misd_count_cat,juv_fel_count_cat,days_b_screening_arrest_cat,two_year_recid,juv_other_count_cat,race_cat,c_days_from_compas_cat
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,white,c_days_from_compas_1
Male,Less than 25,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,white,c_days_from_compas_1
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_10-15,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,white,c_days_from_compas_1
Male,Less than 25,F,priors_count_0,juv_misd_count_1,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,Greater than 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-2,0,juv_other_count_1,non_white,c_days_from_compas_2-7
Male,Less than 25,M,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,M,priors_count_4-6,cjuv_misd_count_2+,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,non_white,c_days_from_compas_8-14
Male,25 - 45,F,priors_count_4-6,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,white,c_days_from_compas_15-21
Male,Less than 25,M,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Female,Greater than 45,M,priors_count_4-6,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,non_white,c_days_from_compas_2-7
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Female,25 - 45,M,priors_count_7-9,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,white,c_days_from_compas_0
Male,25 - 45,M,priors_count_2-3,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,white,c_days_from_compas_1
Male,Less than 25,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_2-7
Male,Less than 25,F,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Female,Greater than 45,F,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Female,Less than 25,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,M,priors_count_2-3,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,non_white,c_days_from_compas_22-28
Female,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,M,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_4-6,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,non_white,c_days_from_compas_2-7
Female,Less than 25,M,priors_count_2-3,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,Less than 25,F,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,non_white,c_days_from_compas_22-28
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_1+,days_b_screening_arrest_-1,0,juv_other_count_0,white,c_days_from_compas_1
Female,25 - 45,F,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_2+,non_white,c_days_from_compas_2-7
Female,Greater than 45,F,priors_count_4-6,cjuv_misd_count_2+,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_2-3,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_0
Male,25 - 45,M,priors_count_2-3,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_0
Male,Less than 25,F,priors_count_2-3,juv_misd_count_1,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
Male,25 - 45,F,priors_count_7-9,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,white,c_days_from_compas_8-14
Male,25 - 45,F,priors_count_15+,cjuv_misd_count_2+,juv_fel_count_1+,days_b_screening_arrest_0,0,juv_other_count_0,non_white,c_days_from_compas_0
Female,Greater than 45,F,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,white,c_days_from_compas_1
Male,25 - 45,F,priors_count_15+,juv_misd_count_1,juv_fel_count_0,days_b_screening_arrest_0,0,juv_other_count_0,non_white,missing
Male,25 - 45,F,priors_count_1,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,0,juv_other_count_0,white,c_days_from_compas_8-14
Male,Less than 25,F,priors_count_0,juv_misd_count_0,juv_fel_count_0,days_b_screening_arrest_-1,0,juv_other_count_0,non_white,c_days_from_compas_1
