sex,c_charge_degree,age_cat,c_days_from_compas_cat,race_cat,days_b_screening_arrest_cat,two_year_recid,priors_count_cat,juv_fel_count_cat,juv_other_count_cat,juv_misd_count_cat
Male,M,25 - 45,c_days_from_compas_0,white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_lt_-3,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_0,non_white,days_b_screening_arrest_-1,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,M,Less than 25,c_days_from_compas_22-28,non_white,days_b_screening_arrest_-2,0,priors_count_7-9,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,Greater than 45,c_days_from_compas_22-28,non_white,days_b_screening_arrest_0,0,priors_count_1,juv_fel_count_0,juv_other_count_0,cjuv_misd_count_2+
Male,F,25 - 45,c_days_from_compas_0,non_white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_1,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_0,non_white,days_b_screening_arrest_-2,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,M,Greater than 45,c_days_from_compas_1,non_white,days_b_screening_arrest_0,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,F,25 - 45,c_days_from_compas_0,white,days_b_screening_arrest_0,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,M,25 - 45,c_days_from_compas_8-14,non_white,days_b_screening_arrest_0,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,F,Greater than 45,c_days_from_compas_15-21,non_white,days_b_screening_arrest_-1,0,priors_count_10-15,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,M,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_0,0,priors_count_2-3,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_-1,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,M,Greater than 45,c_days_from_compas_1,non_white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,M,Greater than 45,c_days_from_compas_29+,white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,Greater than 45,c_days_from_compas_1,white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,M,Greater than 45,c_days_from_compas_1,non_white,days_b_screening_arrest_-2,0,priors_count_1,juv_fel_count_1+,juv_other_count_2+,juv_misd_count_1
Male,M,25 - 45,c_days_from_compas_29+,non_white,days_b_screening_arrest_-1,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_-1,0,priors_count_2-3,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_lt_-3,0,priors_count_7-9,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_0,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_0,non_white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_lt_-3,0,priors_count_0,juv_fel_count_0,juv_other_count_1,juv_misd_count_1
Male,F,Less than 25,c_days_from_compas_1,non_white,days_b_screening_arrest_0,0,priors_count_1,juv_fel_count_0,juv_other_count_1,cjuv_misd_count_2+
Female,F,Greater than 45,c_days_from_compas_0,non_white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,white,days_b_screening_arrest_-1,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,25 - 45,c_days_from_compas_1,non_white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,F,Less than 25,c_days_from_compas_1,non_white,days_b_screening_arrest_0,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Male,M,Greater than 45,c_days_from_compas_1,white,days_b_screening_arrest_-1,0,priors_count_1,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
Female,M,25 - 45,c_days_from_compas_2-7,non_white,days_b_screening_arrest_0,0,priors_count_2-3,juv_fel_count_1+,juv_other_count_2+,juv_misd_count_1
Female,M,25 - 45,c_days_from_compas_0,white,days_b_screening_arrest_-1,0,priors_count_0,juv_fel_count_0,juv_other_count_0,juv_misd_count_0
