sex,juv_other_count_cat,two_year_recid,priors_count_cat,age_cat,juv_fel_count_cat,c_charge_degree,race_cat,juv_misd_count_cat,c_days_from_compas_cat,days_b_screening_arrest_cat
Male,juv_other_count_0,0,priors_count_7-9,Less than 25,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,juv_other_count_0,1,priors_count_4-6,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,juv_other_count_1,1,priors_count_1,Greater than 45,juv_fel_count_1+,M,white,juv_misd_count_0,c_days_from_compas_0,days_b_screening_arrest_1+
Female,juv_other_count_0,0,priors_count_1,Less than 25,juv_fel_count_0,M,white,juv_misd_count_1,c_days_from_compas_1,days_b_screening_arrest_0
Male,juv_other_count_2+,1,priors_count_2-3,Less than 25,juv_fel_count_1+,M,white,juv_misd_count_1,c_days_from_compas_1,days_b_screening_arrest_0
Male,juv_other_count_0,0,priors_count_4-6,Greater than 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1
Female,juv_other_count_0,1,priors_count_15+,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_2-7,days_b_screening_arrest_0
Female,juv_other_count_0,0,priors_count_15+,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_2-7,days_b_screening_arrest_1+
Male,juv_other_count_1,0,priors_count_1,25 - 45,juv_fel_count_1+,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,juv_other_count_2+,1,priors_count_2-3,Less than 25,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,juv_other_count_2+,0,priors_count_1,25 - 45,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1
Male,juv_other_count_0,0,priors_count_2-3,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,juv_other_count_0,0,priors_count_1,25 - 45,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_29+,days_b_screening_arrest_0
Male,juv_other_count_0,1,priors_count_2-3,Less than 25,juv_fel_count_1+,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,juv_other_count_0,0,priors_count_1,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_0,days_b_screening_arrest_-1
Male,juv_other_count_0,1,priors_count_4-6,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,juv_other_count_0,1,priors_count_1,25 - 45,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,juv_other_count_0,0,priors_count_2-3,Greater than 45,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Female,juv_other_count_0,1,priors_count_7-9,Less than 25,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_2-7,days_b_screening_arrest_0
Male,juv_other_count_0,0,priors_count_1,25 - 45,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,juv_other_count_1,0,priors_count_4-6,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-1
Male,juv_other_count_0,1,priors_count_1,Greater than 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,juv_other_count_0,1,priors_count_0,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1
Male,juv_other_count_0,0,priors_count_0,25 - 45,juv_fel_count_0,M,white,juv_misd_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,juv_other_count_0,0,priors_count_0,25 - 45,juv_fel_count_0,F,white,juv_misd_count_0,c_days_from_compas_1,days_b_screening_arrest_0
