sex,two_year_recid,juv_fel_count_cat,race_cat,age_cat,c_days_from_compas_cat,juv_other_count_cat,c_charge_degree,juv_misd_count_cat,days_b_screening_arrest_cat,priors_count_cat
Male,1,juv_fel_count_1+,white,25 - 45,c_days_from_compas_2-7,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_7-9
Male,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_1
Female,1,juv_fel_count_1+,white,25 - 45,missing,juv_other_count_2+,F,juv_misd_count_1,days_b_screening_arrest_lt_-3,priors_count_7-9
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_0
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_7-9
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_1
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_0
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_10-15
Female,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_0,priors_count_2-3
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_22-28,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_lt_-3,priors_count_0
Male,0,juv_fel_count_0,white,Greater than 45,c_days_from_compas_8-14,juv_other_count_1,M,juv_misd_count_0,days_b_screening_arrest_1+,priors_count_1
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_2-7,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-2,priors_count_0
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_0,juv_other_count_1,F,juv_misd_count_0,days_b_screening_arrest_lt_-3,priors_count_2-3
Female,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_2-7,juv_other_count_0,F,juv_misd_count_1,days_b_screening_arrest_lt_-3,priors_count_1
Male,1,juv_fel_count_0,white,Greater than 45,c_days_from_compas_2-7,juv_other_count_1,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_7-9
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_2-3
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_0
Male,1,juv_fel_count_0,white,Greater than 45,c_days_from_compas_0,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_2-3
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_0,juv_other_count_2+,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_1
Male,0,juv_fel_count_1+,white,25 - 45,c_days_from_compas_1,juv_other_count_1,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_1
Male,0,juv_fel_count_1+,white,25 - 45,missing,juv_other_count_2+,F,cjuv_misd_count_2+,days_b_screening_arrest_-1,priors_count_7-9
Male,0,juv_fel_count_0,white,Greater than 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_1
Male,1,juv_fel_count_0,white,Greater than 45,c_days_from_compas_0,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_0,priors_count_0
Male,1,juv_fel_count_0,white,Less than 25,c_days_from_compas_22-28,juv_other_count_0,M,juv_misd_count_1,days_b_screening_arrest_0,priors_count_1
Male,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_0
Male,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_2-7,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_lt_-3,priors_count_0
Male,1,juv_fel_count_1+,white,25 - 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_7-9
Male,1,juv_fel_count_0,white,Greater than 45,c_days_from_compas_22-28,juv_other_count_0,F,juv_misd_count_0,days_b_screening_arrest_lt_-3,priors_count_4-6
Male,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_1
Male,1,juv_fel_count_0,white,Greater than 45,c_days_from_compas_1,juv_other_count_0,M,juv_misd_count_0,days_b_screening_arrest_-1,priors_count_4-6
Female,0,juv_fel_count_1+,white,Greater than 45,c_days_from_compas_29+,juv_other_count_1,M,juv_misd_count_0,days_b_screening_arrest_lt_-3,priors_count_7-9
Male,0,juv_fel_count_0,white,25 - 45,c_days_from_compas_1,juv_other_count_0,F,juv_misd_count_1,days_b_screening_arrest_-1,priors_count_15+
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_0,juv_other_count_1,F,juv_misd_count_0,days_b_screening_arrest_0,priors_count_4-6
Female,0,juv_fel_count_1+,white,Less than 25,c_days_from_compas_1,juv_other_count_2+,M,cjuv_misd_count_2+,days_b_screening_arrest_-1,priors_count_15+
Male,1,juv_fel_count_0,white,25 - 45,c_days_from_compas_29+,juv_other_count_2+,F,cjuv_misd_count_2+,days_b_screening_arrest_1+,priors_count_0
