sex,c_charge_degree,juv_other_count_cat,two_year_recid,race_cat,age_cat,priors_count_cat,juv_fel_count_cat,c_days_from_compas_cat,days_b_screening_arrest_cat,juv_misd_count_cat
Female,M,juv_other_count_1,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_0,cjuv_misd_count_2+
Male,M,juv_other_count_0,1,white,25 - 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-1,juv_misd_count_1
Female,M,juv_other_count_0,1,white,Greater than 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_2+,1,white,Greater than 45,priors_count_4-6,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_1
Male,F,juv_other_count_1,0,white,Less than 25,priors_count_2-3,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-2,cjuv_misd_count_2+
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_4-6,juv_fel_count_1+,c_days_from_compas_22-28,days_b_screening_arrest_1+,juv_misd_count_1
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,M,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_1+,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,1,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_1+,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Less than 25,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_lt_-3,juv_misd_count_0
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Less than 25,priors_count_1,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_2+,1,white,Greater than 45,priors_count_1,juv_fel_count_0,missing,days_b_screening_arrest_-1,juv_misd_count_1
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_10-15,juv_fel_count_1+,c_days_from_compas_2-7,days_b_screening_arrest_1+,juv_misd_count_0
Male,M,juv_other_count_2+,1,white,Greater than 45,priors_count_15+,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Female,M,juv_other_count_0,1,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,1,white,Greater than 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,1,white,Greater than 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,cjuv_misd_count_2+
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-2,juv_misd_count_0
Female,F,juv_other_count_2+,0,white,Greater than 45,priors_count_10-15,juv_fel_count_1+,c_days_from_compas_8-14,days_b_screening_arrest_1+,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_1,1,white,Less than 25,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,M,juv_other_count_0,1,white,Greater than 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_1,0,white,Greater than 45,priors_count_1,juv_fel_count_1+,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3,cjuv_misd_count_2+
Male,F,juv_other_count_0,1,white,Less than 25,priors_count_4-6,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_1+,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_1,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_1+,juv_misd_count_0
Female,F,juv_other_count_1,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1,juv_misd_count_1
Male,F,juv_other_count_0,1,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-2,juv_misd_count_0
Female,F,juv_other_count_0,1,white,Greater than 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Less than 25,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_1,1,white,25 - 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_1+,juv_misd_count_1
Male,M,juv_other_count_0,1,white,Greater than 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3,juv_misd_count_0
Female,F,juv_other_count_1,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_2+,0,white,25 - 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_0,juv_misd_count_1
Male,F,juv_other_count_1,0,white,Greater than 45,priors_count_7-9,juv_fel_count_1+,c_days_from_compas_22-28,days_b_screening_arrest_-2,juv_misd_count_1
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,1,white,Greater than 45,priors_count_1,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_2+,1,white,Greater than 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_1+,cjuv_misd_count_2+
Male,F,juv_other_count_0,1,white,Less than 25,priors_count_1,juv_fel_count_1+,c_days_from_compas_8-14,days_b_screening_arrest_1+,juv_misd_count_0
Male,F,juv_other_count_2+,1,white,Less than 25,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,0,white,Greater than 45,priors_count_15+,juv_fel_count_1+,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_1,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3,cjuv_misd_count_2+
Female,M,juv_other_count_1,1,white,25 - 45,priors_count_1,juv_fel_count_1+,c_days_from_compas_29+,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_1,0,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-2,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Female,M,juv_other_count_2+,0,white,Less than 25,priors_count_15+,juv_fel_count_1+,c_days_from_compas_0,days_b_screening_arrest_-1,cjuv_misd_count_2+
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_2+,1,white,25 - 45,priors_count_2-3,juv_fel_count_1+,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_1+,juv_misd_count_0
Female,M,juv_other_count_0,0,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-2,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_2+,0,white,Less than 25,priors_count_1,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_-1,cjuv_misd_count_2+
Male,M,juv_other_count_2+,1,white,Less than 25,priors_count_7-9,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_0,cjuv_misd_count_2+
Male,M,juv_other_count_1,0,white,Greater than 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_1
Female,M,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,0,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,0,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_2+,0,white,25 - 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_0,juv_misd_count_1
Male,F,juv_other_count_2+,1,white,Less than 25,priors_count_7-9,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_1+,juv_misd_count_1
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_1,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,missing,days_b_screening_arrest_-1,cjuv_misd_count_2+
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_1+,juv_misd_count_0
Female,F,juv_other_count_0,1,white,Greater than 45,priors_count_2-3,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Less than 25,priors_count_10-15,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_1
Female,M,juv_other_count_0,1,white,Less than 25,priors_count_1,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,1,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_1,0,white,Less than 25,priors_count_0,juv_fel_count_1+,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,1,white,25 - 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_-2,juv_misd_count_1
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_lt_-3,juv_misd_count_0
Female,F,juv_other_count_0,0,white,Greater than 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,0,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_1+,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_0,1,white,Greater than 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_1,0,white,Greater than 45,priors_count_2-3,juv_fel_count_0,missing,days_b_screening_arrest_lt_-3,juv_misd_count_1
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_2+,0,white,Less than 25,priors_count_4-6,juv_fel_count_1+,c_days_from_compas_0,days_b_screening_arrest_1+,cjuv_misd_count_2+
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,1,white,Less than 25,priors_count_1,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-1,cjuv_misd_count_2+
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_7-9,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,cjuv_misd_count_2+
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Less than 25,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-2,juv_misd_count_0
Female,M,juv_other_count_0,1,white,Less than 25,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_7-9,juv_fel_count_1+,c_days_from_compas_22-28,days_b_screening_arrest_-2,juv_misd_count_1
Female,M,juv_other_count_0,1,white,25 - 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_1+,juv_misd_count_0
Female,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,1,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_1+,juv_misd_count_0
Female,M,juv_other_count_0,0,white,Greater than 45,priors_count_15+,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,0,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_2+,0,white,Less than 25,priors_count_0,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-2,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_1,0,white,Less than 25,priors_count_2-3,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,F,juv_other_count_1,1,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Female,F,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,0,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Female,M,juv_other_count_1,1,white,Less than 25,priors_count_4-6,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_1
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Male,M,juv_other_count_0,0,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,0,white,Less than 25,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,M,juv_other_count_0,0,white,Greater than 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_-2,juv_misd_count_1
Male,F,juv_other_count_0,1,white,Greater than 45,priors_count_1,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0,juv_misd_count_0
Male,F,juv_other_count_0,1,white,25 - 45,priors_count_0,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,1,white,25 - 45,priors_count_1,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0,juv_misd_count_0
Male,M,juv_other_count_1,0,white,Less than 25,priors_count_10-15,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_lt_-3,juv_misd_count_0
Female,F,juv_other_count_0,1,white,25 - 45,priors_count_2-3,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_lt_-3,cjuv_misd_count_2+
Female,M,juv_other_count_1,1,white,25 - 45,priors_count_4-6,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-1,juv_misd_count_0
Female,M,juv_other_count_0,1,white,25 - 45,priors_count_10-15,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1,juv_misd_count_0
