sex,priors_count_cat,age_cat,c_days_from_compas_cat,two_year_recid,days_b_screening_arrest_cat,juv_other_count_cat,juv_fel_count_cat,c_charge_degree,race_cat,juv_misd_count_cat
Female,priors_count_0,Greater than 45,c_days_from_compas_1,0,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,F,white,juv_misd_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_15-21,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,cjuv_misd_count_2+
Male,priors_count_0,Less than 25,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_-1,juv_other_count_2+,juv_fel_count_0,M,white,juv_misd_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,M,white,juv_misd_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_-1,juv_other_count_1,juv_fel_count_0,F,white,juv_misd_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_1,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_1,Greater than 45,c_days_from_compas_8-14,0,days_b_screening_arrest_lt_-3,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_15+,25 - 45,c_days_from_compas_0,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,white,juv_misd_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Female,priors_count_15+,Greater than 45,c_days_from_compas_1,0,days_b_screening_arrest_lt_-3,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_2-3,Greater than 45,c_days_from_compas_1,1,days_b_screening_arrest_lt_-3,juv_other_count_1,juv_fel_count_0,F,non_white,juv_misd_count_0
Female,priors_count_2-3,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_-2,juv_other_count_1,juv_fel_count_1+,F,white,juv_misd_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_-2,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_1
Male,priors_count_1,Greater than 45,c_days_from_compas_29+,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_2-7,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_15+,Less than 25,missing,1,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_29+,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,white,juv_misd_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,white,juv_misd_count_0
Female,priors_count_4-6,Less than 25,c_days_from_compas_22-28,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_1
Male,priors_count_7-9,Greater than 45,c_days_from_compas_1,0,days_b_screening_arrest_0,juv_other_count_2+,juv_fel_count_1+,F,white,juv_misd_count_1
Male,priors_count_10-15,Greater than 45,c_days_from_compas_1,1,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_lt_-3,juv_other_count_1,juv_fel_count_0,F,non_white,cjuv_misd_count_2+
Male,priors_count_0,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,1,days_b_screening_arrest_lt_-3,juv_other_count_0,juv_fel_count_1+,F,non_white,juv_misd_count_1
Male,priors_count_1,Greater than 45,c_days_from_compas_15-21,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_1+,F,non_white,juv_misd_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_0,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_1+,F,non_white,cjuv_misd_count_2+
Male,priors_count_1,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_lt_-3,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_4-6,Greater than 45,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,non_white,juv_misd_count_0
Female,priors_count_0,Greater than 45,c_days_from_compas_1,1,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,0,days_b_screening_arrest_0,juv_other_count_0,juv_fel_count_0,M,non_white,juv_misd_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_1,0,days_b_screening_arrest_-1,juv_other_count_0,juv_fel_count_0,F,white,juv_misd_count_0
