sex,priors_count_cat,age_cat,juv_other_count_cat,two_year_recid,days_b_screening_arrest_cat,race_cat,juv_fel_count_cat,c_days_from_compas_cat,juv_misd_count_cat,c_charge_degree
Male,priors_count_4-6,Greater than 45,juv_other_count_0,0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_4-6,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-2,non_white,juv_fel_count_0,c_days_from_compas_2-7,juv_misd_count_1,M
Male,priors_count_2-3,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Female,priors_count_2-3,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_lt_-3,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_0,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_0,non_white,juv_fel_count_0,c_days_from_compas_0,juv_misd_count_0,M
Male,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,Less than 25,juv_other_count_0,0,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,c_days_from_compas_1,juv_misd_count_0,M
Female,priors_count_15+,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_1,25 - 45,juv_other_count_0,0,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_7-9,25 - 45,juv_other_count_1,1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,c_days_from_compas_1,cjuv_misd_count_2+,F
Male,priors_count_1,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_0,Greater than 45,juv_other_count_1,1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,c_days_from_compas_2-7,juv_misd_count_0,F
Female,priors_count_1,25 - 45,juv_other_count_1,1,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,cjuv_misd_count_2+,F
Male,priors_count_0,25 - 45,juv_other_count_0,0,days_b_screening_arrest_0,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_4-6,25 - 45,juv_other_count_0,0,days_b_screening_arrest_lt_-3,white,juv_fel_count_1+,c_days_from_compas_8-14,cjuv_misd_count_2+,F
Female,priors_count_0,Greater than 45,juv_other_count_0,0,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_4-6,25 - 45,juv_other_count_0,0,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,c_days_from_compas_29+,juv_misd_count_0,M
Male,priors_count_10-15,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_1,M
Female,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Female,priors_count_1,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_1,Less than 25,juv_other_count_0,0,days_b_screening_arrest_0,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_4-6,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_lt_-3,non_white,juv_fel_count_0,missing,juv_misd_count_0,F
Male,priors_count_4-6,Greater than 45,juv_other_count_2+,1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,c_days_from_compas_1,juv_misd_count_0,M
Female,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_2-3,25 - 45,juv_other_count_0,0,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_4-6,25 - 45,juv_other_count_1,1,days_b_screening_arrest_lt_-3,white,juv_fel_count_1+,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,25 - 45,juv_other_count_0,0,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_2-3,Greater than 45,juv_other_count_1,1,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_15+,25 - 45,juv_other_count_2+,0,days_b_screening_arrest_1+,non_white,juv_fel_count_0,c_days_from_compas_29+,juv_misd_count_0,F
Male,priors_count_1,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_7-9,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_2-3,25 - 45,juv_other_count_0,1,days_b_screening_arrest_0,white,juv_fel_count_0,c_days_from_compas_2-7,juv_misd_count_1,F
Male,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_0,non_white,juv_fel_count_0,c_days_from_compas_0,juv_misd_count_0,M
Female,priors_count_4-6,25 - 45,juv_other_count_0,0,days_b_screening_arrest_0,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_2-3,Less than 25,juv_other_count_1,1,days_b_screening_arrest_-1,non_white,juv_fel_count_1+,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,Less than 25,juv_other_count_1,0,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Female,priors_count_0,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_4-6,Greater than 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_4-6,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
Male,priors_count_4-6,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,non_white,juv_fel_count_0,c_days_from_compas_0,juv_misd_count_0,F
Female,priors_count_4-6,25 - 45,juv_other_count_0,1,days_b_screening_arrest_-1,white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,F
Male,priors_count_0,Less than 25,juv_other_count_0,1,days_b_screening_arrest_0,non_white,juv_fel_count_0,c_days_from_compas_1,juv_misd_count_0,M
