sex,juv_misd_count_cat,c_days_from_compas_cat,c_charge_degree,age_cat,juv_other_count_cat,priors_count_cat,race_cat,days_b_screening_arrest_cat,juv_fel_count_cat,two_year_recid
Female,juv_misd_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_2-3,white,days_b_screening_arrest_-1,juv_fel_count_0,0
Female,juv_misd_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_0,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_1,missing,M,Greater than 45,juv_other_count_0,priors_count_2-3,white,days_b_screening_arrest_1+,juv_fel_count_1+,1
Female,juv_misd_count_1,c_days_from_compas_15-21,F,25 - 45,juv_other_count_2+,priors_count_2-3,non_white,days_b_screening_arrest_lt_-3,juv_fel_count_1+,1
Male,juv_misd_count_1,c_days_from_compas_29+,F,Greater than 45,juv_other_count_0,priors_count_0,white,days_b_screening_arrest_0,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_2-3,white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,cjuv_misd_count_2+,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,Greater than 45,juv_other_count_0,priors_count_7-9,white,days_b_screening_arrest_-1,juv_fel_count_1+,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_2+,priors_count_4-6,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Female,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_2-7,F,25 - 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_lt_-3,juv_fel_count_0,1
Male,juv_misd_count_1,c_days_from_compas_1,M,25 - 45,juv_other_count_2+,priors_count_4-6,non_white,days_b_screening_arrest_-1,juv_fel_count_1+,0
Male,juv_misd_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_1,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Female,juv_misd_count_0,c_days_from_compas_2-7,M,Greater than 45,juv_other_count_0,priors_count_1,non_white,days_b_screening_arrest_-2,juv_fel_count_0,0
Female,juv_misd_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_1,white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_2-7,F,25 - 45,juv_other_count_0,priors_count_0,white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_0,M,25 - 45,juv_other_count_1,priors_count_4-6,non_white,days_b_screening_arrest_0,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_1,white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_2+,priors_count_2-3,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,Greater than 45,juv_other_count_0,priors_count_4-6,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Female,juv_misd_count_0,c_days_from_compas_0,F,25 - 45,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_0,juv_fel_count_0,1
Male,juv_misd_count_1,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Female,juv_misd_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_2-7,F,Less than 25,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-2,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_1,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,Greater than 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,cjuv_misd_count_2+,c_days_from_compas_8-14,M,Less than 25,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_lt_-3,juv_fel_count_0,1
Female,juv_misd_count_0,c_days_from_compas_1,M,Less than 25,juv_other_count_1,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_4-6,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,M,Less than 25,juv_other_count_0,priors_count_0,white,days_b_screening_arrest_0,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_0,white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,cjuv_misd_count_2+,c_days_from_compas_15-21,M,Greater than 45,juv_other_count_0,priors_count_2-3,non_white,days_b_screening_arrest_lt_-3,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_0,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Female,juv_misd_count_0,c_days_from_compas_22-28,F,25 - 45,juv_other_count_1,priors_count_15+,non_white,days_b_screening_arrest_-1,juv_fel_count_1+,0
Female,juv_misd_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_2+,priors_count_4-6,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_1,priors_count_2-3,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_0,white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,cjuv_misd_count_2+,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_-1,juv_fel_count_1+,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_1,priors_count_2-3,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Female,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,white,days_b_screening_arrest_-1,juv_fel_count_0,1
Female,juv_misd_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_1,priors_count_2-3,non_white,days_b_screening_arrest_-1,juv_fel_count_0,1
Female,cjuv_misd_count_2+,c_days_from_compas_22-28,F,25 - 45,juv_other_count_0,priors_count_10-15,non_white,days_b_screening_arrest_-2,juv_fel_count_1+,1
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_4-6,non_white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_1,white,days_b_screening_arrest_-1,juv_fel_count_0,0
Male,juv_misd_count_1,c_days_from_compas_15-21,F,25 - 45,juv_other_count_0,priors_count_15+,non_white,days_b_screening_arrest_-2,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_0,F,Greater than 45,juv_other_count_1,priors_count_4-6,non_white,days_b_screening_arrest_0,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_2-7,M,Less than 25,juv_other_count_1,priors_count_1,non_white,days_b_screening_arrest_lt_-3,juv_fel_count_0,1
Male,juv_misd_count_0,c_days_from_compas_1,F,Greater than 45,juv_other_count_0,priors_count_7-9,non_white,days_b_screening_arrest_lt_-3,juv_fel_count_1+,1
