sex,cur_eco_activity,age,household_position,economic_status,household_size,marital_status,prev_residence_place,country_birth,citizenship,edu_level,occupation
male,131,5,1110,111,114,1,1,1,1,3,0
female,111,4,1110,112,125,1,1,1,1,5,1
female,138,7,1210,111,111,1,1,1,1,4,0
male,131,9,1131,111,113,1,1,1,1,3,0
male,137,9,1110,111,114,1,1,1,1,5,1
female,138,8,1110,111,125,1,1,1,1,5,1
male,132,11,1210,111,111,3,1,1,1,2,0
male,134,11,1121,111,112,2,1,1,1,3,1
female,136,8,1110,111,114,1,1,1,1,3,1
female,138,8,1110,111,125,1,1,1,1,5,1
female,137,4,1110,111,114,1,1,1,1,5,1
male,133,7,1122,111,125,2,1,1,1,3,0
female,139,5,1110,111,126,1,1,1,1,5,1
female,138,7,1122,111,114,2,1,1,1,2,0
female,122,11,1122,111,113,2,1,1,1,2,0
male,133,8,1110,111,113,1,1,1,1,5,1
female,138,5,1131,111,112,4,1,1,1,5,1
female,137,7,1122,111,114,2,1,1,1,3,0
male,122,9,1110,111,125,1,1,1,1,2,0
male,131,11,1121,111,112,2,1,1,1,1,0
male,134,7,1131,111,112,1,1,1,1,4,1
male,139,5,1131,111,112,1,1,1,1,5,1
male,134,8,1110,111,114,1,1,1,1,5,0
male,138,10,1131,111,112,1,1,3,2,5,1
male,136,12,1122,111,114,2,1,1,1,3,0
female,131,9,1110,120,114,1,1,1,1,2,0
female,131,6,1110,111,113,1,1,1,1,2,0
female,138,12,1122,111,113,2,1,1,1,3,0
female,138,11,1131,111,112,1,2,1,1,3,0
male,139,11,1110,111,113,1,1,1,1,5,1
female,137,4,1110,112,126,1,1,1,1,5,1
female,137,12,1122,111,114,2,1,1,1,5,1
female,138,9,1210,111,111,1,1,1,1,1,0
female,138,7,1132,111,114,1,1,1,1,3,1
female,131,7,1210,120,111,1,1,2,1,2,0
female,122,6,1210,111,111,1,1,1,1,4,1
female,136,8,1110,111,125,1,1,1,1,0,0
male,131,5,1131,111,112,1,1,1,1,3,1
male,111,12,1122,120,114,2,1,1,1,3,0
male,135,10,1131,120,112,1,2,1,1,1,0
male,133,10,1131,111,112,1,1,2,1,3,0
female,135,9,1131,111,112,1,1,1,1,3,0
female,133,9,1122,111,114,2,1,1,1,2,0
female,132,11,1122,111,125,2,1,1,1,2,0
male,131,9,1110,111,114,1,1,1,1,2,0
female,139,7,1132,111,113,4,1,1,1,3,1
female,138,10,1210,111,111,4,1,1,1,4,1
male,122,9,1110,111,114,3,1,1,1,2,0
male,122,8,1110,111,114,1,1,1,1,5,1
male,132,11,1131,111,112,1,1,1,1,3,1
female,135,7,1122,111,125,2,1,1,1,2,0
male,131,11,1122,111,125,2,1,1,1,3,0
male,133,11,1122,111,113,2,1,1,1,2,0
male,122,10,1131,111,112,3,1,1,1,3,1
female,122,6,1210,111,111,1,1,1,1,3,1
female,137,7,1121,111,112,2,1,1,1,3,0
female,137,4,1110,120,114,1,1,1,1,5,1
male,131,10,1110,111,111,1,1,1,1,3,0
male,135,8,1110,111,113,1,1,1,1,3,0
male,131,11,1122,111,125,2,2,1,1,3,0
male,133,7,1132,111,113,1,1,1,1,1,0
male,133,4,1110,111,114,1,1,1,1,2,0
male,132,9,1110,111,114,1,1,1,1,4,0
male,131,11,1122,111,114,2,1,1,1,2,0
male,124,9,1110,120,112,1,1,1,1,5,1
female,138,6,1210,111,111,1,1,1,1,1,0
male,111,13,1140,120,113,2,1,1,1,3,1
female,135,7,1121,111,112,2,1,3,1,3,0
female,138,15,1122,120,113,2,1,1,1,2,0
male,136,8,1110,111,113,1,1,1,1,2,0
female,131,4,1110,112,125,1,1,1,1,1,0
male,131,9,1131,111,112,1,1,1,1,3,1
male,135,7,1121,111,112,2,1,1,1,3,0
male,133,10,1131,111,112,1,1,1,1,2,0
female,132,6,1131,111,112,2,1,1,1,3,0
male,131,8,1220,111,112,4,1,1,1,3,0
male,131,11,1122,111,113,2,1,1,1,3,1
female,136,7,1122,111,125,2,1,1,1,5,1
female,138,11,1121,111,112,2,1,1,1,3,1
male,111,5,1110,111,125,1,1,1,1,3,1
female,122,8,1110,111,114,1,1,1,1,2,0
male,134,8,1110,111,112,1,1,3,2,5,1
male,111,6,1131,120,112,1,1,1,1,2,0
female,135,4,1110,112,114,1,1,1,1,3,0
male,122,6,1121,111,112,2,1,1,1,5,1
male,137,7,1122,111,114,2,1,1,1,5,0
female,122,8,1110,111,113,1,1,1,1,1,0
female,138,4,1110,112,113,1,1,3,1,1,0
female,136,5,1131,111,112,1,1,1,1,5,1
female,132,10,1210,111,111,1,1,1,1,2,0
male,138,8,1110,111,114,1,1,1,1,5,1
male,136,5,1110,111,113,1,1,1,1,2,0
female,138,4,1110,111,113,1,1,1,1,1,0
male,136,7,1122,111,114,2,1,1,1,3,0
male,139,8,1110,111,114,1,1,1,1,3,0
male,138,9,1110,111,114,1,1,3,2,3,1
female,135,6,1210,111,111,1,1,1,1,5,0
female,136,11,1122,111,125,2,1,1,1,3,0
female,135,9,1110,111,113,1,1,1,1,5,1
female,135,6,1131,111,112,1,1,1,1,5,1
male,122,8,1110,111,125,1,1,1,1,1,1
male,138,7,1122,111,113,2,1,1,1,5,1
female,131,8,1110,111,125,1,1,1,1,2,0
female,122,7,1110,111,113,1,1,1,1,3,0
female,138,8,1110,111,113,1,1,1,1,3,0
male,132,10,1122,111,114,2,1,1,1,3,0
male,132,4,1110,111,114,1,1,1,1,2,1
male,136,5,1210,111,111,1,1,1,2,5,1
male,136,4,1110,112,125,1,1,1,1,3,0
female,132,9,1220,111,114,1,1,1,1,2,0
female,122,10,1131,111,112,1,2,1,1,3,0
female,137,12,1122,111,113,2,1,1,1,5,0
female,138,10,1210,111,111,1,1,1,1,5,0
male,136,8,1110,111,113,1,1,1,1,5,1
female,135,5,1122,111,114,2,1,1,1,2,0
male,138,8,1220,111,126,1,1,1,1,4,1
male,136,9,1110,111,113,1,1,1,1,5,1
male,131,6,1121,111,112,2,1,1,1,2,0
female,133,6,1131,111,112,1,1,1,1,2,0
male,131,9,1131,111,112,1,1,1,1,2,0
male,138,8,1110,111,125,1,1,1,1,4,1
female,139,12,1122,120,114,2,1,1,1,3,1
female,131,11,1131,111,112,1,1,1,1,2,0
male,122,10,1131,111,112,1,1,1,1,5,1
male,122,9,1110,111,112,1,1,1,1,2,0
male,134,7,1210,111,111,4,1,1,1,5,1
female,139,10,1131,111,112,1,1,1,1,2,0
male,135,8,1110,111,126,1,1,1,1,3,1
male,135,5,1210,111,111,1,1,1,1,3,0
female,131,9,1210,111,111,1,1,1,1,3,1
male,133,13,1122,111,113,2,1,1,1,5,1
female,131,11,1131,111,112,1,1,1,1,5,1
male,136,13,1122,111,114,2,1,1,1,3,0
male,132,7,1122,120,113,2,1,1,1,3,1
male,131,5,1110,111,125,1,1,1,1,3,0
female,137,4,1110,112,125,1,1,1,1,5,1
female,135,5,1110,111,112,1,1,1,1,3,1
female,138,10,1110,111,113,1,1,1,1,5,0
female,135,6,1131,111,112,1,1,1,1,5,1
male,136,6,1131,111,112,1,1,1,1,4,1
female,137,5,1110,111,114,1,1,1,1,5,0
female,137,11,1122,111,114,2,1,1,1,5,0
male,136,9,1210,111,111,1,1,1,1,4,0
male,135,9,1131,111,112,1,1,1,1,5,1
female,134,6,1131,111,112,1,1,1,1,3,0
male,136,9,1131,111,112,1,1,1,1,3,0
male,135,5,1110,111,114,1,1,1,1,1,1
female,138,7,1210,111,111,1,1,1,1,3,0
male,122,5,1110,111,113,1,1,1,1,5,1
male,135,9,1210,111,111,1,1,1,1,2,0
female,132,10,1122,111,114,2,1,1,1,3,1
male,139,4,1110,112,113,1,1,1,1,2,0
female,138,7,1131,111,112,1,2,1,1,3,0
female,138,6,1121,111,112,2,1,1,1,3,0
male,136,12,1122,111,114,2,1,1,1,5,1
female,133,8,1110,111,126,1,1,1,1,3,0
male,136,9,1110,111,126,1,1,1,1,3,0
male,135,9,1110,120,114,1,1,1,1,3,0
male,137,12,1122,111,125,2,1,1,1,5,1
female,131,6,1121,111,112,2,1,1,1,3,1
female,138,11,1122,111,126,2,1,1,1,2,1
male,139,9,1110,111,113,1,1,1,1,5,1
male,132,8,1110,111,114,1,1,1,1,3,1
female,138,8,1110,111,113,2,1,3,2,3,0
male,122,10,1131,111,112,1,1,1,1,3,0
male,137,4,1110,112,112,1,1,1,1,5,1
female,138,8,1110,111,125,1,1,1,1,5,1
male,139,9,1110,120,114,1,1,1,1,2,0
male,135,10,1210,120,111,1,1,1,1,5,1
male,135,7,1122,111,126,2,1,1,1,3,0
male,111,4,1110,112,112,1,1,1,1,2,1
female,131,12,1121,111,112,2,1,1,1,3,0
male,131,8,1110,111,125,1,1,1,1,2,1
male,136,11,1122,111,114,2,1,1,1,3,0
male,122,7,1122,111,126,2,1,1,1,5,1
female,135,10,1110,111,125,1,1,1,1,4,1
female,134,10,1131,111,112,1,1,1,1,3,1
female,138,11,1121,111,112,2,1,1,1,3,0
female,131,6,1121,111,112,2,1,2,1,3,0
female,135,8,1110,111,125,1,1,1,1,3,0
male,135,8,1110,111,114,1,1,1,1,2,0
female,124,8,1110,111,112,1,1,1,1,3,0
female,137,4,1110,111,113,1,1,1,1,3,0
male,134,5,1110,111,114,1,1,1,1,3,1
female,132,10,1210,120,111,1,1,1,1,3,0
male,132,8,1210,111,111,1,1,1,1,2,0
female,122,6,1131,111,112,1,1,1,1,1,0
