sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
original dataset,logistic_regression,0.8404 ± 0.0050,0.8076 ± 0.0060,0.8237 ± 0.0029,0.8341 ± 0.0026,0.8341 ± 0.0026,0.3286 ± 0.0127,0.4720 ± 0.0139,0.1906 ± 0.0121
original dataset,random_forest,0.8251 ± 0.0044,0.8109 ± 0.0058,0.8179 ± 0.0023,0.8273 ± 0.0021,0.8273 ± 0.0021,0.3447 ± 0.0162,0.4622 ± 0.0166,0.2255 ± 0.0091
original dataset,xgboost,0.8394 ± 0.0038,0.8190 ± 0.0029,0.8291 ± 0.0020,0.8383 ± 0.0020,0.8383 ± 0.0020,0.3466 ± 0.0165,0.4572 ± 0.0174,0.2127 ± 0.0160
original dataset,mlp,0.8161 ± 0.0061,0.8024 ± 0.0113,0.8091 ± 0.0038,0.8190 ± 0.0027,0.8190 ± 0.0027,0.3507 ± 0.0307,0.4562 ± 0.0296,0.2359 ± 0.0327
Initial DAG,logistic_regression,0.8498 ± 0.0054,0.6118 ± 0.0043,0.7115 ± 0.0045,0.7566 ± 0.0037,0.7566 ± 0.0037,0.0083 ± 0.0081,0.9764 ± 0.0228,0.0157 ± 0.0030
Initial DAG,random_forest,0.7633 ± 0.0035,0.6348 ± 0.0049,0.6932 ± 0.0037,0.7276 ± 0.0029,0.7276 ± 0.0029,0.0055 ± 0.0081,0.9862 ± 0.0200,0.0120 ± 0.0026
Initial DAG,xgboost,0.8425 ± 0.0066,0.6098 ± 0.0033,0.7075 ± 0.0046,0.7529 ± 0.0040,0.7529 ± 0.0040,0.0102 ± 0.0073,0.9711 ± 0.0204,0.0143 ± 0.0039
Initial DAG,mlp,0.7214 ± 0.0119,0.6436 ± 0.0162,0.6801 ± 0.0077,0.7082 ± 0.0058,0.7082 ± 0.0058,0.0081 ± 0.0058,0.9808 ± 0.0146,0.0110 ± 0.0059
HC without fairness constraints,logistic_regression,0.8498 ± 0.0054,0.6118 ± 0.0043,0.7115 ± 0.0045,0.7566 ± 0.0037,0.7566 ± 0.0037,0.0083 ± 0.0081,0.9764 ± 0.0228,0.0157 ± 0.0030
HC without fairness constraints,random_forest,0.7633 ± 0.0035,0.6348 ± 0.0049,0.6932 ± 0.0037,0.7276 ± 0.0029,0.7276 ± 0.0029,0.0055 ± 0.0081,0.9862 ± 0.0200,0.0120 ± 0.0026
HC without fairness constraints,xgboost,0.8425 ± 0.0066,0.6098 ± 0.0033,0.7075 ± 0.0046,0.7529 ± 0.0040,0.7529 ± 0.0040,0.0102 ± 0.0073,0.9711 ± 0.0204,0.0143 ± 0.0039
HC without fairness constraints,mlp,0.7254 ± 0.0186,0.6430 ± 0.0181,0.6813 ± 0.0051,0.7099 ± 0.0062,0.7099 ± 0.0062,0.0086 ± 0.0057,0.9801 ± 0.0131,0.0119 ± 0.0057
HC with fairness constraints and same size as original dataset lambda = 0.1,logistic_regression,0.8033 ± 0.0035,0.6563 ± 0.0071,0.7224 ± 0.0033,0.7841 ± 0.0024,0.7841 ± 0.0024,0.0058 ± 0.0062,0.9807 ± 0.0204,0.0149 ± 0.0103
HC with fairness constraints and same size as original dataset lambda = 0.1,random_forest,0.7527 ± 0.0067,0.6667 ± 0.0063,0.7071 ± 0.0037,0.7733 ± 0.0027,0.7733 ± 0.0027,0.0021 ± 0.0012,0.9933 ± 0.0039,0.0075 ± 0.0015
HC with fairness constraints and same size as original dataset lambda = 0.1,xgboost,0.7936 ± 0.0052,0.6652 ± 0.0026,0.7237 ± 0.0011,0.7851 ± 0.0007,0.7851 ± 0.0007,0.0062 ± 0.0004,0.9792 ± 0.0012,0.0121 ± 0.0030
HC with fairness constraints and same size as original dataset lambda = 0.1,mlp,0.7254 ± 0.0170,0.6637 ± 0.0122,0.6929 ± 0.0022,0.7627 ± 0.0017,0.7627 ± 0.0017,0.0106 ± 0.0092,0.9683 ± 0.0278,0.0184 ± 0.0107
HC with fairness constraints and double the size of original dataset lambda = 0.1,logistic_regression,0.8756 ± 0.0007,0.5265 ± 0.0020,0.6576 ± 0.0017,0.7293 ± 0.0010,0.7293 ± 0.0010,0.0868 ± 0.0017,0.7369 ± 0.0041,0.1135 ± 0.0022
HC with fairness constraints and double the size of original dataset lambda = 0.1,random_forest,0.8518 ± 0.0017,0.5528 ± 0.0025,0.6705 ± 0.0021,0.7327 ± 0.0013,0.7327 ± 0.0013,0.1001 ± 0.0027,0.7216 ± 0.0056,0.0969 ± 0.0046
HC with fairness constraints and double the size of original dataset lambda = 0.1,xgboost,0.8759 ± 0.0014,0.5511 ± 0.0043,0.6766 ± 0.0032,0.7401 ± 0.0019,0.7401 ± 0.0019,0.0997 ± 0.0045,0.7152 ± 0.0091,0.1013 ± 0.0072
HC with fairness constraints and double the size of original dataset lambda = 0.1,mlp,0.8380 ± 0.0068,0.5552 ± 0.0055,0.6679 ± 0.0024,0.7288 ± 0.0012,0.7288 ± 0.0012,0.0991 ± 0.0028,0.7287 ± 0.0085,0.0953 ± 0.0049
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,logistic_regression,0.8188 ± 0.0025,0.6630 ± 0.0019,0.7327 ± 0.0013,0.7648 ± 0.0012,0.7648 ± 0.0012,0.1336 ± 0.0047,0.7050 ± 0.0090,0.0699 ± 0.0042
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,random_forest,0.7767 ± 0.0038,0.6697 ± 0.0019,0.7193 ± 0.0017,0.7474 ± 0.0018,0.7474 ± 0.0018,0.1208 ± 0.0085,0.7439 ± 0.0164,0.0725 ± 0.0085
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,xgboost,0.8096 ± 0.0020,0.6784 ± 0.0030,0.7382 ± 0.0016,0.7667 ± 0.0012,0.7667 ± 0.0012,0.1402 ± 0.0056,0.7014 ± 0.0108,0.0653 ± 0.0068
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,mlp,0.7435 ± 0.0199,0.6754 ± 0.0123,0.7075 ± 0.0035,0.7314 ± 0.0075,0.7314 ± 0.0075,0.1064 ± 0.0113,0.7808 ± 0.0270,0.0766 ± 0.0134
HC with fairness constraints and equal number of protected attribute lambda = 0.1,logistic_regression,0.8724 ± 0.0007,0.5280 ± 0.0009,0.6579 ± 0.0007,0.7289 ± 0.0004,0.7289 ± 0.0004,0.0888 ± 0.0010,0.7334 ± 0.0025,0.1121 ± 0.0013
HC with fairness constraints and equal number of protected attribute lambda = 0.1,random_forest,0.8377 ± 0.0023,0.5682 ± 0.0030,0.6771 ± 0.0022,0.7341 ± 0.0014,0.7341 ± 0.0014,0.1056 ± 0.0016,0.7192 ± 0.0041,0.0870 ± 0.0051
HC with fairness constraints and equal number of protected attribute lambda = 0.1,xgboost,0.8692 ± 0.0023,0.5583 ± 0.0033,0.6799 ± 0.0029,0.7410 ± 0.0020,0.7410 ± 0.0020,0.1038 ± 0.0044,0.7103 ± 0.0097,0.0947 ± 0.0087
HC with fairness constraints and equal number of protected attribute lambda = 0.1,mlp,0.8135 ± 0.0022,0.5751 ± 0.0088,0.6738 ± 0.0061,0.7277 ± 0.0036,0.7277 ± 0.0036,0.1051 ± 0.0152,0.7310 ± 0.0302,0.0858 ± 0.0197
HC with fairness constraints and same size as original dataset lambda = 0.2,logistic_regression,0.6008 ± 0.0108,0.4848 ± 0.0155,0.5363 ± 0.0053,0.6266 ± 0.0017,0.6266 ± 0.0017,0.0579 ± 0.0193,0.8413 ± 0.0539,0.0729 ± 0.0208
HC with fairness constraints and same size as original dataset lambda = 0.2,random_forest,0.5748 ± 0.0047,0.5241 ± 0.0111,0.5482 ± 0.0057,0.6229 ± 0.0030,0.6229 ± 0.0030,0.0076 ± 0.0017,0.9803 ± 0.0048,0.0118 ± 0.0044
HC with fairness constraints and same size as original dataset lambda = 0.2,xgboost,0.5821 ± 0.0054,0.5445 ± 0.0070,0.5627 ± 0.0035,0.6320 ± 0.0029,0.6320 ± 0.0029,0.0256 ± 0.0172,0.9367 ± 0.0422,0.0340 ± 0.0194
HC with fairness constraints and same size as original dataset lambda = 0.2,mlp,0.5634 ± 0.0053,0.4983 ± 0.0264,0.5284 ± 0.0133,0.6105 ± 0.0041,0.6105 ± 0.0041,0.0404 ± 0.0134,0.8950 ± 0.0380,0.0471 ± 0.0147
HC with fairness constraints and double the size of original dataset lambda = 0.2,logistic_regression,0.5563 ± 0.0131,0.5546 ± 0.0174,0.5553 ± 0.0138,0.5763 ± 0.0123,0.5763 ± 0.0123,0.0343 ± 0.0337,0.9324 ± 0.0656,0.1008 ± 0.0251
HC with fairness constraints and double the size of original dataset lambda = 0.2,random_forest,0.5727 ± 0.0063,0.5307 ± 0.0107,0.5509 ± 0.0074,0.5855 ± 0.0055,0.5855 ± 0.0055,0.0726 ± 0.0163,0.8484 ± 0.0319,0.0360 ± 0.0184
HC with fairness constraints and double the size of original dataset lambda = 0.2,xgboost,0.5796 ± 0.0107,0.5209 ± 0.0353,0.5483 ± 0.0239,0.5892 ± 0.0136,0.5892 ± 0.0136,0.0646 ± 0.0231,0.8616 ± 0.0400,0.0616 ± 0.0169
HC with fairness constraints and double the size of original dataset lambda = 0.2,mlp,0.5640 ± 0.0151,0.5324 ± 0.0225,0.5476 ± 0.0170,0.5793 ± 0.0134,0.5793 ± 0.0134,0.0409 ± 0.0182,0.9141 ± 0.0355,0.0327 ± 0.0094
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,logistic_regression,0.5401 ± 0.0001,0.9408 ± 0.0002,0.6863 ± 0.0001,0.6066 ± 0.0002,0.6066 ± 0.0002,0.0521 ± 0.0004,0.9391 ± 0.0004,0.0444 ± 0.0005
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,random_forest,0.5408 ± 0.0029,0.7259 ± 0.0093,0.6199 ± 0.0049,0.5831 ± 0.0041,0.5831 ± 0.0041,0.0327 ± 0.0060,0.9502 ± 0.0085,0.0336 ± 0.0085
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,xgboost,0.5413 ± 0.0034,0.8541 ± 0.0166,0.6626 ± 0.0073,0.5984 ± 0.0062,0.5984 ± 0.0062,0.0804 ± 0.0116,0.8985 ± 0.0142,0.0695 ± 0.0223
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,mlp,0.5401 ± 0.0105,0.6742 ± 0.0457,0.5992 ± 0.0222,0.5766 ± 0.0141,0.5766 ± 0.0141,0.0463 ± 0.0134,0.9257 ± 0.0177,0.0483 ± 0.0272
HC with fairness constraints and equal number of protected attribute lambda = 0.2,logistic_regression,0.5468 ± 0.0112,0.4892 ± 0.0199,0.5162 ± 0.0130,0.5603 ± 0.0091,0.5603 ± 0.0091,0.0635 ± 0.0294,0.8623 ± 0.0620,0.0824 ± 0.0166
HC with fairness constraints and equal number of protected attribute lambda = 0.2,random_forest,0.5504 ± 0.0055,0.5220 ± 0.0234,0.5356 ± 0.0126,0.5673 ± 0.0055,0.5673 ± 0.0055,0.0301 ± 0.0149,0.9368 ± 0.0289,0.0390 ± 0.0251
HC with fairness constraints and equal number of protected attribute lambda = 0.2,xgboost,0.5580 ± 0.0137,0.4833 ± 0.0350,0.5172 ± 0.0199,0.5674 ± 0.0107,0.5674 ± 0.0107,0.0390 ± 0.0140,0.9112 ± 0.0289,0.0471 ± 0.0072
HC with fairness constraints and equal number of protected attribute lambda = 0.2,mlp,0.5410 ± 0.0149,0.5123 ± 0.0396,0.5259 ± 0.0270,0.5592 ± 0.0155,0.5592 ± 0.0155,0.0398 ± 0.0174,0.9166 ± 0.0335,0.0549 ± 0.0249
HC with fairness constraints and same size as original dataset lambda = 0.3,logistic_regression,0.8143 ± 0.0029,0.7220 ± 0.0065,0.7654 ± 0.0046,0.7958 ± 0.0036,0.7958 ± 0.0036,0.1383 ± 0.0118,0.7005 ± 0.0210,0.0846 ± 0.0075
HC with fairness constraints and same size as original dataset lambda = 0.3,random_forest,0.7832 ± 0.0019,0.7404 ± 0.0067,0.7612 ± 0.0041,0.7890 ± 0.0032,0.7890 ± 0.0032,0.1898 ± 0.0077,0.6302 ± 0.0102,0.1381 ± 0.0046
HC with fairness constraints and same size as original dataset lambda = 0.3,xgboost,0.8028 ± 0.0027,0.7591 ± 0.0035,0.7804 ± 0.0016,0.8057 ± 0.0013,0.8057 ± 0.0013,0.1825 ± 0.0074,0.6418 ± 0.0112,0.1213 ± 0.0059
HC with fairness constraints and same size as original dataset lambda = 0.3,mlp,0.7526 ± 0.0129,0.7278 ± 0.0302,0.7394 ± 0.0112,0.7687 ± 0.0065,0.7687 ± 0.0065,0.1928 ± 0.0254,0.6341 ± 0.0270,0.1515 ± 0.0333
