sex,cur_eco_activity,economic_status,household_position,prev_residence_place,country_birth,age,marital_status,occupation,household_size,citizenship,edu_level
male,133,111,1122,1,1,10,2,1,114,1,5
female,135,111,1122,1,1,11,2,1,114,1,5
male,124,111,1210,1,1,6,1,1,111,1,5
male,131,111,1122,1,1,11,2,1,113,1,5
female,137,111,1131,1,1,6,1,1,112,1,3
female,131,111,1121,1,1,12,2,1,112,1,3
female,134,111,1110,1,1,5,1,1,114,1,5
male,131,111,1121,1,1,12,2,1,112,1,3
male,132,111,1110,1,3,7,1,1,112,2,3
male,131,111,1122,1,1,9,2,1,114,1,3
female,138,111,1122,1,1,7,2,1,113,1,3
female,139,111,1131,1,1,7,1,1,112,1,5
female,131,111,1140,1,1,8,2,1,113,1,5
female,122,111,1121,1,1,6,2,1,112,1,5
female,138,111,1131,1,1,6,1,1,112,1,5
female,134,111,1210,1,1,7,1,1,111,1,3
male,137,111,1122,1,1,7,2,1,113,1,3
male,124,111,1122,1,1,8,2,1,114,1,5
female,137,120,1122,1,1,10,2,1,114,1,2
female,122,111,1132,1,1,8,1,1,114,1,3
male,138,120,1121,1,1,12,2,1,112,1,3
male,135,120,1121,1,1,11,2,1,112,1,5
male,131,111,1121,1,1,13,2,1,112,1,3
female,138,111,1121,1,1,11,2,1,112,1,2
male,135,120,1140,1,1,11,1,1,112,1,5
female,135,111,1121,1,1,11,2,1,112,1,3
male,133,111,1210,1,3,6,2,1,111,1,5
male,122,120,1121,1,1,6,2,1,112,1,5
male,137,120,1122,1,1,12,2,1,114,1,5
male,135,111,1122,1,1,7,2,1,114,1,5
male,137,111,1122,1,1,9,2,1,125,1,5
male,136,120,1110,1,1,5,1,1,114,1,2
male,122,111,1122,1,1,9,2,1,114,1,3
male,133,111,1121,1,1,11,2,1,112,1,5
male,132,111,1122,1,1,11,2,1,113,1,3
male,137,111,1110,1,1,5,1,1,113,1,3
male,111,120,1122,1,1,8,2,1,114,1,5
male,111,111,1122,1,1,9,2,1,125,1,5
female,134,111,1210,1,1,11,1,1,111,1,5
male,124,111,1122,1,1,9,2,1,114,1,5
female,132,120,1122,1,1,13,2,1,114,1,2
