sex,country_birth,age,household_position,economic_status,marital_status,citizenship,prev_residence_place,household_size,cur_eco_activity,occupation,edu_level
male,1,10,1122,111,2,1,1,114,124,1,5
male,1,13,1131,111,4,1,1,112,137,1,5
male,1,11,1122,111,2,1,1,113,135,1,5
male,1,8,1122,112,1,3,2,112,132,1,2
male,1,7,1122,111,2,1,1,114,122,0,2
male,1,8,1110,111,1,1,1,125,131,1,3
male,1,10,1122,111,2,1,1,125,137,0,2
male,1,7,1121,111,1,1,1,112,122,1,3
male,1,4,1110,111,1,1,1,125,132,0,3
male,1,10,1121,112,3,1,1,114,133,0,1
male,1,10,1121,111,2,1,1,112,137,1,3
male,1,11,1122,111,2,1,1,114,111,1,3
male,1,5,1110,111,1,1,1,112,131,0,1
male,1,7,1110,111,2,1,1,113,111,0,2
male,2,7,1122,111,1,1,1,114,138,0,3
male,1,7,1121,111,2,1,1,112,131,1,3
male,1,6,1122,111,2,1,1,113,135,0,2
male,1,4,1110,111,1,1,1,114,138,0,2
male,1,8,1110,112,2,1,1,114,135,1,5
male,1,10,1210,120,2,1,1,113,131,0,3
male,1,13,1122,111,2,1,1,114,138,0,3
male,1,6,1110,120,2,1,1,114,135,1,5
male,1,5,1132,111,1,1,1,113,138,1,3
male,1,11,1121,111,2,1,1,112,138,1,5
male,1,9,1122,111,2,1,1,125,137,1,5
male,1,10,1131,111,2,1,1,112,122,1,3
male,1,5,1131,111,2,3,2,112,131,1,5
male,1,11,1122,111,2,1,1,113,135,1,3
male,1,7,1132,111,1,1,1,114,124,1,5
male,3,9,1122,111,1,1,1,114,138,1,5
male,1,10,1220,111,2,1,1,112,131,0,5
male,1,10,1122,111,1,1,1,114,138,0,5
male,1,8,1210,111,2,1,1,111,135,1,5
male,1,7,1210,111,2,1,1,111,122,0,2
male,1,11,1121,111,2,1,1,112,138,1,3
male,1,4,1110,111,1,1,1,112,132,0,2
male,1,13,1131,111,2,1,1,112,139,1,5
male,1,11,1122,111,2,1,1,113,133,1,3
male,1,7,1121,112,2,1,1,114,136,0,3
male,1,12,1122,111,2,1,1,113,131,1,2
male,1,8,1121,120,2,1,1,112,137,1,3
male,1,5,1122,112,1,1,1,112,122,1,2
male,1,10,1122,111,2,1,1,114,133,1,5
male,1,9,1122,120,1,1,1,114,139,0,5
male,1,11,1122,111,4,3,1,125,137,1,2
male,1,7,1122,120,2,1,1,114,132,1,5
male,1,11,1131,111,1,1,1,112,132,0,3
male,1,10,1122,111,2,1,1,113,135,0,3
male,1,10,1121,111,2,1,1,112,137,0,3
male,3,6,1122,111,1,1,1,113,131,1,5
male,1,5,1131,111,1,1,1,112,131,1,5
male,1,8,1121,111,2,1,1,112,133,0,3
male,1,7,1122,111,1,1,1,114,131,0,5
male,1,7,1210,111,2,1,1,111,139,1,5
male,1,5,1121,111,1,1,1,126,133,1,5
male,1,9,1122,111,2,1,1,114,133,0,3
male,1,6,1110,111,1,1,1,113,135,0,2
male,1,11,1140,111,2,1,1,125,138,1,5
male,1,13,1122,111,2,1,1,113,111,0,2
male,1,8,1122,120,1,1,1,113,135,0,5
male,1,9,1121,111,2,1,1,112,133,0,3
male,1,6,1210,120,1,1,1,111,139,1,5
male,1,10,1122,111,1,1,1,113,131,1,3
male,3,6,1122,111,2,1,1,125,136,0,3
male,1,12,1121,111,2,1,1,112,136,1,3
male,1,6,1131,111,1,1,1,112,135,1,5
male,1,8,1210,111,2,1,1,111,136,1,3
male,1,5,1110,111,2,1,1,114,132,1,1
male,1,6,1121,111,1,1,1,112,131,1,5
male,1,8,1110,111,1,1,1,113,132,0,2
male,1,6,1122,111,1,1,1,113,131,1,5
male,1,5,1122,120,4,1,1,114,139,0,2
male,1,6,1122,111,1,1,1,114,131,1,3
male,1,9,1122,111,2,1,1,113,135,0,4
male,1,12,1121,111,2,1,1,112,137,1,5
male,1,6,1110,112,1,3,1,125,135,0,1
male,3,9,1110,111,2,1,1,114,136,0,3
male,1,4,1121,111,1,1,1,126,132,1,2
male,1,9,1110,120,2,1,1,126,133,1,2
male,1,6,1210,111,1,1,2,111,132,1,5
male,3,13,1220,112,2,1,1,114,137,0,2
male,3,6,1210,111,1,1,1,111,122,1,5
male,1,8,1122,111,4,1,1,125,135,1,5
male,1,10,1210,111,2,1,1,111,122,0,3
male,1,7,1122,111,2,1,1,114,135,1,5
male,1,9,1131,111,2,1,1,112,134,0,3
male,1,4,1121,111,1,1,1,112,131,0,2
male,1,7,1131,111,2,1,1,112,135,1,5
male,1,11,1122,111,3,1,1,113,135,0,5
male,1,11,1122,111,2,1,1,114,135,1,3
male,1,11,1131,111,2,1,1,112,135,1,5
male,1,12,1122,111,2,1,1,114,139,0,2
male,1,10,1122,111,2,1,1,125,137,1,5
male,1,10,1121,111,2,1,1,112,133,1,5
male,1,5,1121,111,1,1,1,112,131,0,3
male,1,10,1122,111,2,1,1,114,136,0,3
