sex,cur_eco_activity,household_position,marital_status,household_size,economic_status,age,prev_residence_place,citizenship,edu_level,country_birth,occupation
male,139,1121,2,112,111,11,1,1,3,1,0
male,132,1122,2,113,120,11,1,1,5,1,1
male,137,1122,2,114,111,9,1,1,2,1,0
male,135,1122,2,114,111,8,1,2,2,3,1
male,124,1122,2,125,111,9,1,1,5,1,1
male,134,1122,2,113,111,9,1,1,5,1,1
male,135,1122,2,125,111,9,1,1,3,1,0
male,122,1110,1,113,111,9,1,1,5,1,1
male,134,1122,2,113,111,8,1,1,5,1,1
male,137,1210,1,111,111,12,1,1,2,1,0
male,124,1122,2,126,111,11,1,1,4,1,1
male,131,1210,1,111,111,10,1,1,3,1,0
male,122,1122,2,114,111,11,1,1,3,1,0
male,131,1122,2,113,111,7,1,1,1,1,0
male,138,1121,2,112,111,12,1,1,5,1,1
male,132,1122,2,114,111,9,1,1,3,1,0
male,135,1220,1,112,112,14,2,1,3,2,0
male,135,1131,4,112,112,5,1,1,5,1,1
male,131,1210,1,111,111,9,1,1,5,1,1
male,135,1121,2,112,111,12,1,1,2,1,0
male,132,1210,1,111,112,5,1,2,3,3,0
male,132,1121,2,112,111,8,1,1,3,1,0
male,122,1122,2,114,111,7,1,1,3,1,0
male,131,1131,1,112,111,7,1,1,3,1,1
male,135,1210,1,111,120,7,1,1,3,1,0
male,133,1122,2,114,111,9,1,1,2,1,0
male,124,1220,1,126,111,11,1,1,5,1,0
male,131,1210,1,111,111,6,1,1,2,1,0
male,122,1122,2,114,111,9,1,1,5,1,1
male,139,1122,2,113,111,9,1,1,5,1,1
male,136,1122,2,114,111,9,1,1,5,1,1
male,131,1121,2,112,111,12,1,1,4,1,1
male,133,1210,1,111,111,11,1,1,3,1,1
male,139,1121,2,112,111,11,1,1,5,1,1
male,111,1122,2,114,120,12,1,1,3,1,0
male,136,1140,3,113,111,11,1,1,5,1,0
male,131,1220,1,112,111,6,1,1,1,1,0
male,134,1210,1,111,111,8,1,1,5,2,1
male,135,1131,1,112,111,9,1,1,3,1,0
male,131,1131,1,112,111,6,1,1,2,1,0
male,135,1132,1,114,111,10,1,1,3,1,1
male,131,1121,2,112,111,15,1,1,3,1,1
male,137,1131,3,112,111,6,1,1,4,1,1
male,131,1121,2,112,120,11,1,1,4,1,1
male,138,1132,1,114,111,6,1,1,5,1,0
male,132,1131,1,112,111,12,1,1,3,1,1
male,122,1210,4,111,111,6,1,1,2,1,0
male,131,1122,2,126,111,7,1,1,2,1,0
male,135,1131,1,112,111,6,1,1,3,1,0
male,133,1121,2,112,111,11,1,1,3,1,0
male,131,1122,2,113,111,10,1,1,5,1,1
male,134,1122,2,113,111,6,1,1,3,1,0
male,133,1122,2,113,111,7,1,1,3,1,0
male,135,1210,1,111,111,9,1,1,3,1,0
male,136,1122,2,125,111,8,1,1,3,1,0
male,137,1122,2,113,120,9,1,1,5,1,1
male,131,1132,1,113,111,7,1,1,1,1,0
male,131,1110,1,126,120,15,1,1,3,1,0
male,139,1122,2,114,111,9,1,1,3,1,0
male,131,1210,2,111,111,10,2,1,2,3,0
male,139,1121,2,112,111,11,1,1,5,1,1
male,122,1122,2,113,111,10,1,1,2,1,0
male,111,1122,2,114,120,9,1,1,2,1,0
male,132,1121,2,112,111,7,1,1,2,2,0
male,131,1122,2,114,111,7,1,1,1,1,0
male,135,1110,1,113,111,6,1,1,3,1,0
male,133,1132,1,113,111,7,1,1,3,1,0
male,133,1122,2,114,111,11,1,1,2,1,0
male,136,1131,1,112,111,5,1,1,3,1,0
male,139,1122,2,114,112,6,1,1,2,1,0
male,132,1110,1,113,111,6,1,1,3,1,1
male,131,1132,1,113,111,9,1,1,3,1,1
male,138,1122,2,114,111,7,1,1,2,1,0
male,135,1121,2,112,111,11,1,1,5,1,0
male,131,1110,1,125,112,4,1,1,5,1,1
male,124,1121,2,112,111,8,1,1,4,1,0
male,122,1210,1,111,111,9,1,1,3,1,1
male,136,1122,2,114,111,7,1,1,3,1,0
male,122,1122,2,113,111,10,1,1,3,1,0
male,134,1122,2,114,111,7,1,1,3,1,0
male,136,1122,2,114,111,9,1,1,2,1,0
male,133,1122,2,114,111,11,1,1,3,1,0
male,131,1140,3,112,120,8,1,1,4,1,1
male,135,1122,2,114,111,12,1,1,5,1,1
male,135,1131,1,112,111,6,1,1,3,2,0
male,138,1210,1,111,111,9,1,1,2,1,0
male,136,1122,2,113,111,8,1,1,5,1,1
male,132,1131,1,112,112,5,1,1,2,1,0
male,137,1122,2,114,111,9,1,1,5,1,1
male,135,1122,2,114,111,6,1,1,5,1,1
male,122,1131,1,112,111,6,1,1,3,1,0
male,131,1110,1,113,111,6,1,1,2,1,0
male,135,1110,1,113,112,4,1,1,2,1,0
male,138,1121,2,112,111,11,1,1,3,1,0
male,131,1132,1,114,111,9,1,1,3,1,1
male,133,1210,1,111,111,8,1,1,1,1,0
male,131,1210,1,111,111,6,1,1,3,1,1
male,138,1122,2,125,111,11,1,1,3,1,0
male,133,1122,2,125,111,9,1,1,5,1,1
male,131,1131,1,112,111,6,1,1,2,1,1
male,131,1121,2,112,111,13,1,1,3,1,0
male,124,1122,2,114,120,8,1,1,4,2,0
male,136,1122,2,114,111,8,1,1,4,1,1
male,122,1210,1,111,111,7,1,1,5,1,0
male,135,1132,1,113,120,7,1,1,3,1,0
male,122,1122,2,114,111,11,1,1,5,1,0
male,131,1110,1,114,112,5,1,1,3,1,0
