sex,country_birth,age,economic_status,occupation,household_position,marital_status,citizenship,edu_level,household_size,prev_residence_place,cur_eco_activity
female,1,9,111,0,1122,2,1,3,114,1,136
female,1,12,120,1,1121,2,1,3,112,1,138
male,1,12,111,0,1131,1,1,5,112,1,122
female,1,7,111,0,1122,2,1,3,113,1,135
male,1,9,120,0,1122,2,1,2,114,1,131
male,1,6,111,1,1132,1,1,5,113,1,124
female,1,4,112,0,1110,1,1,3,126,1,131
female,1,9,111,0,1122,2,1,3,114,1,131
female,1,12,111,0,1140,3,1,3,113,1,135
male,3,10,111,0,1121,2,1,5,112,1,137
female,1,5,111,0,1131,1,1,3,112,1,138
female,1,8,111,0,1122,2,1,2,114,1,134
male,3,9,111,0,1122,2,1,5,113,1,136
female,1,8,111,0,1210,2,1,3,111,1,133
female,1,7,111,1,1132,1,1,3,113,1,137
female,1,10,111,0,1122,2,1,3,114,1,138
male,3,8,111,0,1140,4,1,3,112,1,135
male,1,12,111,0,1121,2,1,3,112,1,139
female,1,11,111,0,1122,2,1,4,113,1,124
male,1,4,112,0,1110,1,1,3,113,1,122
male,1,10,111,1,1122,2,1,3,114,1,136
female,2,11,111,0,1122,2,1,2,114,1,135
male,2,8,111,0,1122,2,1,5,114,1,131
female,1,8,111,0,1122,2,1,5,114,1,122
male,1,11,111,0,1122,2,1,1,114,1,122
male,1,10,111,0,1121,2,1,2,112,1,133
male,1,12,111,0,1121,2,1,3,112,1,139
female,1,9,111,0,1140,1,1,2,112,1,135
male,1,9,111,0,1121,2,1,3,112,1,137
female,1,8,111,0,1122,2,1,5,114,1,135
female,1,6,120,0,1210,4,2,2,111,1,131
female,1,7,111,1,1122,2,2,3,113,1,138
female,1,8,111,1,1122,2,1,5,113,1,131
male,1,12,111,1,1122,2,1,5,113,1,131
female,1,6,112,0,1122,2,1,2,113,1,132
female,1,11,111,0,1121,2,2,3,112,1,131
male,1,10,111,0,1122,2,1,3,113,1,138
male,1,8,111,0,1122,2,1,5,125,1,136
female,3,10,111,0,1122,2,1,3,125,1,131
male,1,11,120,0,1122,2,1,3,113,1,111
male,1,9,111,0,1122,2,1,1,114,1,133
male,1,5,111,0,1110,1,1,3,112,1,131
female,1,9,111,0,1131,1,1,3,112,1,131
