sex,cur_eco_activity,household_size,age,household_position,economic_status,edu_level,marital_status,prev_residence_place,occupation,citizenship,country_birth
male,133,112,5,1131,111,2,1,1,1,1,1
female,137,114,4,1110,112,1,1,1,0,1,1
female,124,112,7,1131,111,5,1,1,1,1,1
male,136,112,9,1110,111,3,1,1,0,1,1
male,139,112,9,1110,120,5,2,2,1,1,1
female,131,112,8,1110,111,2,1,1,1,1,1
male,131,112,11,1110,111,4,1,1,0,1,1
male,122,125,11,1122,111,3,2,1,1,1,1
female,134,113,8,1110,111,0,1,1,0,1,1
female,132,114,8,1110,120,2,1,1,1,1,1
female,131,114,4,1110,111,2,1,1,0,1,1
male,133,112,7,1121,111,4,2,1,0,1,1
female,135,125,5,1110,111,2,1,1,0,1,1
female,138,126,7,1122,112,4,1,1,0,2,1
female,131,113,11,1122,111,3,2,1,1,1,1
male,132,113,8,1110,111,2,1,1,0,1,3
female,138,114,5,1110,111,2,1,1,0,1,1
female,122,114,7,1132,120,2,1,1,1,1,1
male,136,112,9,1110,111,3,1,1,0,1,1
male,135,113,11,1122,111,3,2,1,0,1,1
male,122,125,7,1122,111,1,2,1,1,1,1
male,135,114,5,1110,111,3,1,1,0,1,1
male,135,113,8,1110,111,2,1,1,0,1,1
male,137,112,10,1131,111,5,4,2,1,1,1
male,136,113,12,1122,111,5,2,1,1,1,1
female,133,111,9,1210,111,3,2,1,1,1,1
female,137,111,6,1210,111,5,1,1,0,1,3
female,132,113,12,1122,111,2,2,1,1,1,2
female,132,113,11,1122,111,3,2,1,1,1,1
male,138,125,11,1132,111,3,1,1,0,1,1
female,137,125,4,1110,111,2,1,1,0,1,1
female,137,114,12,1122,111,5,2,1,0,1,1
female,135,113,9,1110,120,3,2,2,1,1,1
female,136,114,7,1122,111,5,2,1,1,2,2
female,137,112,7,1131,111,5,1,1,1,1,1
female,131,111,6,1210,111,3,1,1,0,1,1
female,131,111,8,1110,111,2,1,1,0,1,1
male,131,113,5,1110,111,2,1,1,0,1,1
male,111,114,12,1122,120,2,2,1,1,1,1
male,131,112,10,1131,111,2,1,1,1,1,1
male,135,112,10,1131,111,5,1,1,1,1,1
female,135,112,9,1110,111,3,1,1,0,1,1
female,138,113,9,1110,111,3,1,1,0,1,1
female,131,111,11,1210,111,2,1,1,0,1,1
male,135,111,9,1210,120,5,1,1,1,1,1
female,136,113,7,1122,111,5,2,1,0,1,1
female,135,114,10,1132,111,5,1,1,1,1,1
male,135,112,9,1131,111,2,1,1,1,1,1
