sex,household_size,prev_residence_place,age,economic_status,cur_eco_activity,household_position,marital_status,occupation,citizenship,country_birth,edu_level
male,113,1,5,112,133,1121,4,1,1,1,5
female,126,1,4,112,131,1122,2,0,1,1,4
female,113,1,7,111,135,1110,1,0,1,1,3
male,125,1,9,111,131,1122,2,0,1,1,3
male,114,1,9,111,137,1122,2,0,1,1,3
female,113,1,8,111,131,1110,1,1,1,1,5
male,112,1,11,111,131,1121,2,1,1,1,5
male,112,1,11,111,138,1121,2,1,1,1,5
female,114,1,8,111,135,1122,2,1,1,1,5
female,113,1,8,111,135,1110,1,0,1,1,3
female,112,1,4,112,131,1121,1,0,1,1,1
male,113,1,7,111,131,1122,2,0,1,1,2
female,114,1,5,112,131,1110,1,1,1,1,5
female,112,1,7,111,131,1121,2,0,1,1,3
female,111,1,11,111,136,1210,1,0,2,3,1
male,113,1,8,111,131,1132,1,1,1,1,2
female,113,1,5,112,133,1122,2,1,1,1,5
female,111,1,7,111,135,1210,1,1,1,1,5
male,114,1,9,120,131,1122,2,0,1,1,3
male,114,1,11,111,135,1122,2,1,1,1,5
male,112,1,7,111,122,1121,2,0,1,1,3
male,113,1,5,111,135,1122,2,1,1,1,5
male,114,1,8,111,131,1122,2,1,1,1,2
male,114,1,10,111,131,1132,1,1,1,1,3
male,112,1,12,111,138,1121,2,0,1,1,3
female,112,2,9,111,131,1121,2,1,1,1,5
female,112,1,6,111,137,1121,2,0,1,1,5
female,112,1,12,111,135,1121,2,0,1,1,3
female,114,1,11,111,133,1122,2,1,2,1,4
male,114,1,11,111,135,1122,2,0,1,1,3
female,112,1,4,111,131,1131,4,0,1,1,3
female,112,1,12,111,138,1131,1,0,1,1,2
female,111,1,9,120,132,1210,1,0,1,1,2
female,114,1,7,111,138,1122,2,0,1,1,2
female,114,1,7,111,135,1122,2,1,1,1,5
female,125,1,6,111,135,1122,2,1,2,1,3
female,111,1,8,111,131,1210,1,1,1,1,2
male,113,1,5,111,131,1110,1,0,1,1,1
male,114,1,12,111,138,1122,2,0,1,1,3
male,112,1,10,111,133,1131,1,1,1,1,5
male,125,1,10,111,135,1122,2,1,1,1,5
female,114,1,9,111,137,1122,2,0,1,1,0
female,114,1,9,111,137,1122,2,0,1,1,3
female,111,1,11,111,131,1210,1,0,1,1,3
male,125,1,9,111,131,1122,2,0,1,1,2
female,114,1,7,111,131,1122,2,1,1,1,5
female,113,1,10,111,122,1110,1,0,1,1,1
male,111,1,9,111,131,1210,1,1,1,1,3
male,114,1,8,120,131,1110,1,1,1,1,5
male,125,1,11,120,111,1122,2,1,1,1,5
female,112,1,7,111,135,1110,1,1,1,1,5
male,113,1,11,120,131,1122,2,0,1,1,3
male,125,1,11,111,136,1122,2,1,1,1,5
male,112,1,10,111,138,1131,1,0,1,1,3
female,125,1,6,111,135,1122,2,1,1,1,5
female,114,1,7,111,138,1122,2,0,1,1,3
female,112,1,4,111,131,1121,2,0,1,1,2
male,111,1,10,120,135,1210,4,0,1,1,3
male,114,1,8,120,122,1122,1,0,1,2,3
male,125,1,11,111,131,1140,4,0,1,1,1
male,112,1,7,111,138,1121,2,1,1,1,5
male,112,1,4,112,132,1131,1,1,1,1,5
male,111,1,9,111,135,1210,1,1,1,1,5
male,112,1,11,111,135,1131,4,0,1,1,3
male,113,1,9,111,131,1122,2,1,1,1,5
female,111,1,6,111,122,1210,1,1,1,1,3
male,111,1,13,111,137,1210,1,0,1,1,3
female,111,1,7,120,139,1210,1,1,1,1,3
female,125,1,15,120,131,1122,2,1,1,1,5
male,111,1,8,111,135,1210,1,1,1,1,5
female,114,1,4,112,122,1122,1,1,1,1,3
male,112,1,9,111,131,1110,1,0,1,1,3
male,113,1,7,111,139,1122,2,1,1,1,3
male,125,1,10,111,137,1122,2,1,1,1,2
female,111,1,6,111,139,1210,4,1,1,1,5
male,125,1,8,111,131,1110,1,0,1,1,3
male,111,1,11,111,122,1210,4,0,1,1,2
female,125,1,7,111,133,1122,2,1,1,1,5
female,114,1,11,111,131,1122,2,1,1,1,5
male,112,1,5,111,131,1110,1,1,1,1,5
