sex,household_size,household_position,marital_status,cur_eco_activity,age,prev_residence_place,edu_level,citizenship,occupation,country_birth,economic_status
male,125,1122,1,134,7,1,5,1,1,1,111
female,114,1122,2,135,8,1,2,1,1,1,111
female,125,1110,2,131,11,1,5,1,1,1,111
male,126,1122,2,134,6,1,5,1,1,1,111
male,114,1110,2,136,8,1,2,1,1,1,111
female,111,1210,1,138,4,1,2,1,1,1,111
male,111,1210,1,135,12,1,3,1,0,1,112
male,111,1210,1,135,12,1,3,1,0,1,111
female,111,1210,1,134,11,1,5,1,1,1,111
female,113,1122,1,135,12,1,2,1,0,1,111
female,114,1110,2,131,9,1,2,1,0,1,111
male,113,1122,1,135,8,1,3,1,0,3,111
female,112,1131,2,138,10,1,5,1,1,1,111
female,114,1122,2,131,6,1,3,2,1,2,111
female,112,1131,2,135,6,1,2,1,1,1,111
male,114,1110,2,137,6,1,3,1,1,1,111
female,114,1122,2,131,12,1,2,1,0,1,111
female,113,1110,1,138,4,1,2,1,0,1,111
male,112,1121,1,138,9,1,3,1,0,1,111
male,111,1210,2,131,9,1,3,1,1,1,111
male,125,1110,2,122,9,1,2,1,1,1,111
male,125,1122,2,136,8,1,2,1,1,1,111
male,125,1110,2,131,10,1,2,1,0,1,111
male,112,1131,2,132,6,1,1,1,0,1,111
male,114,1122,2,132,9,1,3,1,0,1,120
female,112,1131,2,138,7,1,5,1,1,1,111
female,112,1121,1,131,11,1,5,1,0,1,111
female,112,1121,2,111,6,1,3,1,1,1,120
female,114,1220,1,131,11,1,5,3,1,1,111
male,114,1122,1,122,5,1,3,1,1,1,112
female,114,1122,4,138,12,1,3,1,1,1,111
female,113,1132,2,135,9,1,5,1,1,1,120
female,114,1110,2,132,12,1,1,1,0,1,111
female,111,1210,1,131,9,1,5,1,1,1,111
female,114,1122,2,133,9,1,5,1,1,1,111
female,112,1121,1,131,8,1,5,1,0,1,111
female,125,1122,2,135,8,1,3,1,0,1,111
male,114,1122,1,136,4,1,3,1,0,1,111
male,112,1131,2,139,10,1,2,1,0,1,120
male,111,1210,1,131,8,1,3,1,0,1,111
male,114,1122,2,135,8,1,2,1,1,1,111
female,114,1122,1,135,10,1,2,1,0,1,111
female,114,1110,2,137,4,1,3,1,1,1,111
female,114,1110,1,138,5,1,1,1,0,1,112
male,112,1121,2,138,5,1,3,1,1,1,111
female,112,1140,2,138,8,1,2,1,0,1,111
female,114,1110,2,139,8,1,1,1,0,1,111
male,114,1122,2,136,4,2,1,1,0,1,111
male,114,1110,3,135,12,1,3,1,0,1,111
male,112,1131,1,132,5,1,3,1,0,1,112
female,112,1110,2,132,4,1,2,1,1,3,111
male,113,1122,2,131,9,1,3,1,1,1,111
male,125,1122,1,135,5,1,3,1,0,1,112
male,113,1122,2,135,12,1,3,1,0,1,111
female,113,1110,2,132,7,1,3,1,0,1,111
female,113,1132,1,132,11,1,5,1,1,1,111
female,114,1122,2,131,6,1,2,1,0,1,111
male,112,1110,2,136,8,1,2,1,1,1,111
male,112,1131,1,135,7,1,2,1,0,1,111
male,114,1110,1,138,6,1,3,1,0,1,112
male,114,1122,1,138,5,1,2,1,0,1,111
male,112,1121,2,122,11,1,1,1,0,1,111
male,113,1122,2,138,8,1,5,1,1,1,111
male,114,1122,2,136,7,1,2,1,0,1,111
male,112,1131,2,122,8,1,1,1,0,1,111
female,112,1121,2,133,10,1,1,1,0,1,111
male,111,1210,2,135,4,1,1,1,0,1,120
female,112,1121,1,132,11,1,1,1,0,1,111
female,112,1121,2,131,8,1,1,1,0,1,120
male,112,1121,2,135,6,1,2,1,1,1,111
female,114,1122,2,122,7,1,1,1,0,1,111
male,112,1121,2,133,11,1,3,1,0,1,111
male,111,1210,2,131,6,1,1,1,0,1,111
male,113,1110,2,133,8,1,2,1,0,1,111
female,111,1210,1,122,11,1,5,1,1,1,111
male,111,1210,2,122,10,1,3,1,0,1,111
male,111,1210,1,131,10,1,2,1,0,1,112
female,111,1210,2,131,4,1,2,1,0,1,111
female,112,1140,1,131,4,1,3,1,1,1,112
male,126,1122,2,136,11,1,3,1,0,1,111
female,114,1122,1,135,7,1,5,1,1,1,111
male,114,1122,2,137,6,1,5,1,1,1,111
male,112,1140,2,124,5,1,3,1,1,1,111
female,113,1122,2,138,5,1,5,1,1,1,111
male,113,1122,1,122,8,1,5,1,1,1,111
male,112,1121,2,131,5,1,2,1,0,1,111
female,126,1110,1,138,5,1,2,1,0,1,111
female,114,1122,4,138,11,1,4,1,0,1,111
female,112,1121,1,133,7,1,2,1,0,1,111
female,112,1131,2,131,4,2,1,1,1,1,111
male,114,1122,2,135,5,1,2,1,0,1,111
male,112,1121,4,131,6,1,3,1,1,1,111
female,112,1121,2,122,12,1,3,1,0,1,111
male,111,1210,2,122,10,1,3,1,0,1,111
male,112,1121,1,131,7,1,2,1,0,1,111
male,112,1131,2,136,9,1,5,1,1,1,111
female,112,1131,4,138,12,1,3,1,0,1,111
female,114,1140,4,122,7,1,2,1,0,3,111
female,112,1121,2,131,7,1,5,1,1,1,111
female,111,1210,2,138,9,1,2,1,0,1,111
