sex,cur_eco_activity,occupation,household_position,age,economic_status,marital_status,household_size,prev_residence_place,country_birth,citizenship,edu_level
male,133,0,1131,6,112,1,112,1,1,1,3
male,136,0,1122,10,111,2,113,1,1,1,2
male,122,1,1122,9,111,2,114,1,1,1,5
male,131,0,1210,8,111,1,111,1,1,1,3
female,138,0,1122,9,111,2,114,1,1,1,3
female,132,0,1210,4,112,1,111,1,1,1,2
male,136,1,1122,8,111,2,114,1,3,1,5
female,137,0,1122,9,111,2,114,1,1,1,5
male,122,0,1122,4,111,4,114,1,1,1,2
female,122,1,1131,5,111,1,112,1,1,1,3
female,138,0,1140,11,111,1,112,1,1,1,2
female,137,1,1122,11,111,2,114,1,1,1,5
male,134,1,1122,12,111,2,114,1,1,1,5
female,122,0,1122,10,111,2,125,1,1,1,2
male,132,0,1121,7,111,2,112,1,1,1,2
male,134,1,1121,8,111,2,112,1,1,1,5
male,131,0,1210,6,111,1,111,1,1,1,3
female,132,0,1122,7,111,2,113,1,1,1,2
female,138,0,1122,8,111,2,114,1,1,1,3
male,135,1,1121,10,111,2,112,1,1,1,2
female,122,0,1122,7,111,2,114,1,1,1,3
female,134,1,1122,6,111,2,113,1,1,1,3
male,137,1,1121,11,111,2,112,1,1,1,5
female,137,1,1131,10,111,1,112,2,1,1,5
female,135,1,1110,5,111,1,114,1,1,1,5
male,135,0,1122,6,111,2,114,1,1,1,3
male,111,1,1121,11,120,2,112,1,1,1,2
female,132,0,1110,5,111,1,126,1,1,1,2
male,131,0,1210,7,111,1,111,1,1,1,2
female,131,1,1121,6,111,2,112,1,1,1,3
male,133,0,1122,8,111,2,114,2,1,1,2
female,135,0,1122,10,111,2,114,1,1,1,1
female,131,1,1122,10,111,2,113,1,1,1,1
male,136,0,1210,10,111,1,111,1,1,1,2
male,124,1,1122,14,111,3,112,1,1,1,3
male,136,0,1121,9,111,2,112,1,1,1,5
male,122,1,1122,10,111,2,114,1,1,1,5
male,138,1,1122,10,111,2,125,1,1,1,5
female,138,0,1122,9,111,2,125,1,2,1,3
female,137,0,1210,10,111,2,111,1,1,1,2
male,122,0,1122,10,111,2,113,1,1,1,1
male,136,1,1122,10,111,2,125,1,1,1,5
male,122,0,1122,10,111,2,113,1,1,1,1
male,111,1,1122,11,120,2,125,1,1,1,2
male,137,0,1121,13,111,2,112,1,1,1,5
