sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
original dataset,logistic_regression,0.9075 ± 0.0126,0.9614 ± 0.0112,0.9336 ± 0.0079,0.9761 ± 0.0055,0.9761 ± 0.0055,0.0619 ± 0.0080,0.3885 ± 0.0608,0.0422 ± 0.0186
original dataset,random_forest,0.9154 ± 0.0161,0.9404 ± 0.0218,0.9274 ± 0.0103,0.9661 ± 0.0105,0.9661 ± 0.0105,0.0586 ± 0.0075,0.4018 ± 0.0523,0.0617 ± 0.0245
original dataset,xgboost,0.9142 ± 0.0170,0.9387 ± 0.0239,0.9260 ± 0.0118,0.9652 ± 0.0115,0.9652 ± 0.0115,0.0589 ± 0.0081,0.3992 ± 0.0563,0.0620 ± 0.0317
original dataset,mlp,0.9205 ± 0.0145,0.9347 ± 0.0203,0.9273 ± 0.0090,0.9635 ± 0.0097,0.9635 ± 0.0097,0.0569 ± 0.0071,0.4103 ± 0.0554,0.0572 ± 0.0172
original dataset with protected attribute removed (FTU),logistic_regression,0.9043 ± 0.0135,0.9631 ± 0.0103,0.9327 ± 0.0075,0.9767 ± 0.0050,0.9767 ± 0.0050,0.0576 ± 0.0086,0.4294 ± 0.0689,0.0284 ± 0.0108
original dataset with protected attribute removed (FTU),random_forest,0.9199 ± 0.0164,0.9392 ± 0.0215,0.9292 ± 0.0082,0.9658 ± 0.0101,0.9658 ± 0.0101,0.0562 ± 0.0078,0.4212 ± 0.0546,0.0260 ± 0.0207
original dataset with protected attribute removed (FTU),xgboost,0.9166 ± 0.0154,0.9381 ± 0.0175,0.9270 ± 0.0103,0.9650 ± 0.0085,0.9650 ± 0.0085,0.0553 ± 0.0083,0.4310 ± 0.0619,0.0307 ± 0.0237
original dataset with protected attribute removed (FTU),mlp,0.9218 ± 0.0192,0.9409 ± 0.0277,0.9308 ± 0.0108,0.9667 ± 0.0131,0.9667 ± 0.0131,0.0558 ± 0.0076,0.4242 ± 0.0520,0.0279 ± 0.0172
original dataset with protected attribute and proxies removed (FTU_2),logistic_regression,0.9050 ± 0.0143,0.9648 ± 0.0101,0.9338 ± 0.0078,0.9776 ± 0.0049,0.9776 ± 0.0049,0.0577 ± 0.0086,0.4290 ± 0.0690,0.0278 ± 0.0094
original dataset with protected attribute and proxies removed (FTU_2),random_forest,0.9097 ± 0.0169,0.9619 ± 0.0096,0.9349 ± 0.0077,0.9765 ± 0.0044,0.9765 ± 0.0044,0.0572 ± 0.0088,0.4296 ± 0.0691,0.0330 ± 0.0157
original dataset with protected attribute and proxies removed (FTU_2),xgboost,0.9102 ± 0.0165,0.9619 ± 0.0096,0.9352 ± 0.0073,0.9765 ± 0.0043,0.9765 ± 0.0043,0.0572 ± 0.0087,0.4298 ± 0.0686,0.0330 ± 0.0157
original dataset with protected attribute and proxies removed (FTU_2),mlp,0.9146 ± 0.0188,0.9540 ± 0.0121,0.9337 ± 0.0054,0.9728 ± 0.0052,0.9728 ± 0.0052,0.0569 ± 0.0092,0.4258 ± 0.0688,0.0236 ± 0.0133
Initial DAG,logistic_regression,0.9028 ± 0.0019,0.9602 ± 0.0000,0.9306 ± 0.0010,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0473 ± 0.0013,0.5196 ± 0.0128,0.0428 ± 0.0000
Initial DAG,random_forest,0.8841 ± 0.0039,0.9574 ± 0.0025,0.9193 ± 0.0019,0.9728 ± 0.0012,0.9728 ± 0.0012,0.0377 ± 0.0032,0.6180 ± 0.0328,0.0346 ± 0.0110
Initial DAG,xgboost,0.8894 ± 0.0034,0.9597 ± 0.0011,0.9232 ± 0.0022,0.9742 ± 0.0007,0.9742 ± 0.0007,0.0388 ± 0.0018,0.6062 ± 0.0187,0.0373 ± 0.0109
Initial DAG,mlp,0.8789 ± 0.0080,0.9557 ± 0.0046,0.9156 ± 0.0031,0.9717 ± 0.0020,0.9717 ± 0.0020,0.0340 ± 0.0060,0.6542 ± 0.0619,0.0384 ± 0.0215
HC without fairness constraints,logistic_regression,0.9028 ± 0.0019,0.9602 ± 0.0000,0.9306 ± 0.0010,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0473 ± 0.0013,0.5196 ± 0.0128,0.0428 ± 0.0000
HC without fairness constraints,random_forest,0.8881 ± 0.0031,0.9557 ± 0.0034,0.9206 ± 0.0021,0.9722 ± 0.0017,0.9722 ± 0.0017,0.0426 ± 0.0025,0.5689 ± 0.0256,0.0294 ± 0.0272
HC without fairness constraints,xgboost,0.8918 ± 0.0033,0.9602 ± 0.0000,0.9248 ± 0.0018,0.9747 ± 0.0002,0.9747 ± 0.0002,0.0404 ± 0.0024,0.5899 ± 0.0238,0.0428 ± 0.0000
HC without fairness constraints,mlp,0.8850 ± 0.0039,0.9574 ± 0.0031,0.9198 ± 0.0022,0.9729 ± 0.0015,0.9729 ± 0.0015,0.0398 ± 0.0032,0.5974 ± 0.0325,0.0372 ± 0.0244
HC with fairness constraints and same size as original dataset lambda = 0.1,logistic_regression,0.8923 ± 0.0035,0.9602 ± 0.0000,0.9250 ± 0.0019,0.9747 ± 0.0002,0.9747 ± 0.0002,0.0404 ± 0.0023,0.5902 ± 0.0236,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.1,random_forest,0.8986 ± 0.0019,0.9517 ± 0.0048,0.9244 ± 0.0028,0.9708 ± 0.0024,0.9708 ± 0.0024,0.0513 ± 0.0029,0.4800 ± 0.0288,0.0538 ± 0.0438
HC with fairness constraints and same size as original dataset lambda = 0.1,xgboost,0.8983 ± 0.0026,0.9534 ± 0.0029,0.9250 ± 0.0021,0.9716 ± 0.0015,0.9716 ± 0.0015,0.0519 ± 0.0027,0.4755 ± 0.0260,0.0543 ± 0.0393
HC with fairness constraints and same size as original dataset lambda = 0.1,mlp,0.8926 ± 0.0061,0.9534 ± 0.0029,0.9220 ± 0.0035,0.9713 ± 0.0015,0.9713 ± 0.0015,0.0504 ± 0.0049,0.4929 ± 0.0480,0.0543 ± 0.0393
HC with fairness constraints and double the size of original dataset lambda = 0.1,logistic_regression,0.8989 ± 0.0000,0.9602 ± 0.0000,0.9286 ± 0.0000,0.9751 ± 0.0000,0.9751 ± 0.0000,0.0448 ± 0.0000,0.5453 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.1,random_forest,0.8879 ± 0.0066,0.9540 ± 0.0011,0.9198 ± 0.0034,0.9713 ± 0.0005,0.9713 ± 0.0005,0.0424 ± 0.0052,0.5700 ± 0.0527,0.0366 ± 0.0012
HC with fairness constraints and double the size of original dataset lambda = 0.1,xgboost,0.8943 ± 0.0040,0.9568 ± 0.0028,0.9245 ± 0.0022,0.9731 ± 0.0013,0.9731 ± 0.0013,0.0450 ± 0.0031,0.5443 ± 0.0317,0.0394 ± 0.0028
HC with fairness constraints and double the size of original dataset lambda = 0.1,mlp,0.8870 ± 0.0074,0.9540 ± 0.0011,0.9193 ± 0.0040,0.9713 ± 0.0007,0.9713 ± 0.0007,0.0414 ± 0.0047,0.5799 ± 0.0475,0.0366 ± 0.0012
