fam_inc,race,male,admit,ugpa_bin,lsat_bin
5.0,White,1.0,0,ugpa_2.5_2.75,lsat_35_39
2.0,White,0.0,0,ugpa_2.5_2.75,lsat_39_43
4.0,White,0.0,0,ugpa_2.75_3.0,lsat_27_31
4.0,White,1.0,0,ugpa_3.25_3.5,lsat_23_27
2.0,Non-White,1.0,0,ugpa_3.5_3.75,lsat_39_43
3.0,White,0.0,0,ugpa_3.5_3.75,lsat_27_31
4.0,White,1.0,0,ugpa_2.5_2.75,lsat_31_35
3.0,White,1.0,0,ugpa_3.25_3.5,lsat_31_35
4.0,White,1.0,0,ugpa_3.0_3.25,lsat_35_39
4.0,White,0.0,0,ugpa_2.75_3.0,lsat_31_35
4.0,Non-White,0.0,0,ugpa_3.25_3.5,lsat_31_35
4.0,White,1.0,0,ugpa_3.25_3.5,lsat_35_39
4.0,White,0.0,0,ugpa_2.75_3.0,lsat_35_39
1.0,White,0.0,0,ugpa_3.25_3.5,lsat_31_35
3.0,Non-White,0.0,0,ugpa_3.75_4.0,lsat_23_27
4.0,White,1.0,0,ugpa_3.75_4.0,lsat_39_43
5.0,White,0.0,0,ugpa_3.25_3.5,lsat_35_39
3.0,White,0.0,0,ugpa_3.0_3.25,lsat_27_31
2.0,Non-White,1.0,0,ugpa_2.25_2.5,lsat_31_35
3.0,White,1.0,0,ugpa_3.75_4.0,lsat_39_43
3.0,White,1.0,1,ugpa_3.25_3.5,lsat_43_47
4.0,White,1.0,0,ugpa_2.25_2.5,lsat_39_43
4.0,White,1.0,0,ugpa_3.25_3.5,lsat_35_39
4.0,White,1.0,0,ugpa_3.25_3.5,lsat_27_31
4.0,Non-White,1.0,0,ugpa_3.0_3.25,lsat_27_31
3.0,White,0.0,0,ugpa_2.75_3.0,lsat_35_39
3.0,White,0.0,0,ugpa_3.0_3.25,lsat_39_43
4.0,White,0.0,0,ugpa_3.5_3.75,lsat_39_43
4.0,White,0.0,0,ugpa_3.0_3.25,lsat_35_39
4.0,White,1.0,0,ugpa_3.0_3.25,lsat_31_35
1.0,Non-White,0.0,0,ugpa_2.75_3.0,lsat_39_43
4.0,Non-White,0.0,0,ugpa_2.25_2.5,lsat_35_39
4.0,White,0.0,0,ugpa_2.75_3.0,lsat_35_39
3.0,White,1.0,0,ugpa_2.5_2.75,lsat_39_43
4.0,White,0.0,0,ugpa_3.0_3.25,lsat_35_39
3.0,White,0.0,0,ugpa_3.25_3.5,lsat_31_35
4.0,White,0.0,0,ugpa_3.75_4.0,lsat_31_35
3.0,White,1.0,0,ugpa_3.25_3.5,lsat_23_27
3.0,White,1.0,0,ugpa_3.75_4.0,lsat_39_43
4.0,Non-White,1.0,0,ugpa_3.0_3.25,lsat_23_27
1.0,Non-White,1.0,0,ugpa_1.75_2.0,lsat_27_31
3.0,White,0.0,0,ugpa_2.5_2.75,lsat_39_43
4.0,White,0.0,0,ugpa_3.5_3.75,lsat_35_39
4.0,White,0.0,0,ugpa_2.0_2.25,lsat_19_23
4.0,White,1.0,0,ugpa_3.0_3.25,lsat_27_31
2.0,Non-White,0.0,0,ugpa_2.75_3.0,lsat_39_43
4.0,White,1.0,0,ugpa_2.0_2.25,lsat_31_35
4.0,White,1.0,0,ugpa_3.5_3.75,lsat_39_43
3.0,Non-White,1.0,0,ugpa_2.75_3.0,lsat_35_39
3.0,White,1.0,0,ugpa_2.75_3.0,lsat_31_35
3.0,White,0.0,0,ugpa_3.75_4.0,lsat_39_43
